,subject,set,understood task,response,button_bias_Z,decoy_NN_count,decoy_NN_count_correct,decoy_binom,rt set,rt shifted,rt swapped,rt neither,key_r,I7_count,I5_count,I1_count,I11_count,rt shifted-swapped,rt shifted:swapped,# shifted,# swapped,# neither,# 1st button,# 2nd button,# neither button,# 1st button (task),# 2nd button (task),# neither button (task),# button presses (task),# trials,# button presses,# no_neither_trials,rate shifted,rate swapped,rate neither,rate pressed 1st,rate pressed 2nd,rate pressed neither,rate pressed 1st (task),rate pressed 2nd (task),rate pressed neither (task),rate_NN_shifted,rate_NN_swapped,rate shifted - rate swapped,rate shifted - rate swapped (NN),Unnamed: 0,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,Q15 - Parent Topics,Q15 - Topics,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
131,SSS0134,0 2 4 7 9,True,BABBBBBBABBBBB,0.7140055472954163,14,8,0.395263671875,2550.2125000348315,4550.35749997478,1527.3975000018254,1628.835000039544,0.7831132527256113,1.75,2.8125,0.0,0.0,3022.9599999729544,2.979157357511284,8.0,6.0,2.0,2.0,12.0,2.0,2.0,12.0,2.0,16.0,16.0,16.0,14.0,0.5,0.375,0.125,0.125,0.75,0.125,0.125,0.75,0.125,0.5714285714285714,0.42857142857142855,0.125,0.14285714285714285,134,19,No,in-ear,,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,2.0,0,"Yes, but not so well",piano,Strongly Agree,Neither Agree nor Disagree,I did not use any specific strategy.,2020-10-02 11:40:58,37905
132,SSS0135,0 2 4 7 9,True,ABBBABABBABAABAB,1.6448792373994225,16,14,0.0020904541015625,913.7124998960644,913.7124998960644,865.4349998105317,1548.0849999003112,0.798382727106446,1.2777777777777777,2.111111111111111,0.0,0.0,48.277500085532665,1.055784085570958,14.0,2.0,2.0,7.0,9.0,2.0,7.0,9.0,2.0,18.0,18.0,18.0,16.0,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.3888888888888889,0.5,0.1111111111111111,0.3888888888888889,0.5,0.1111111111111111,0.875,0.125,0.6666666666666667,0.75,135,21,No,in-ear earphones,5-9,Other (please specify below):,,,,SONA for course credit,chinese,No,Female,,2.0,2-3,"Yes, but not so well",zither,Strongly Agree,Agree,,2020-09-18 13:22:59,37066
133,SSS0136,0 2 4 7 9,True,ABBBABAAAAABABBAAAB,-0.12761452161188594,19,14,0.0317840576171875,3140.670000000391,4077.940000002738,2138.189999997616,0.0,0.7829701951936452,1.736842105263158,2.3157894736842106,0.0,0.0,1939.7500000051223,1.907192532004773,14.0,5.0,0.0,11.0,8.0,0.0,11.0,8.0,0.0,19.0,19.0,19.0,19.0,0.7368421052631579,0.2631578947368421,0.0,0.5789473684210527,0.42105263157894735,0.0,0.5789473684210527,0.42105263157894735,0.0,0.7368421052631579,0.2631578947368421,0.47368421052631576,0.47368421052631576,136,19,No,in ear headphones,"7-12, 14-15",English,,,,SONA for course credit,,No,Female,,7.0,4-5,"Yes, but not so well","voice, piano, flute",Agree,Disagree,,2020-09-26 22:32:00,39487
134,SSS0137,0 2 4 7 9,True,ABBBBAAA,-1.5275252316519468,8,8,0.00390625,2233.395000002347,2233.395000002347,0.0,2285.3074999880046,0.7725530958788713,1.7222222222222223,2.111111111111111,0.0,0.0,0.0,0.0,8.0,0.0,10.0,4.0,4.0,10.0,4.0,4.0,10.0,18.0,18.0,18.0,8.0,0.4444444444444444,0.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.5555555555555556,1.0,0.0,0.4444444444444444,1.0,137,18,No,In ear airpods,7-13,Other (please specify below):,In different pitches,,Unknown,SONA for course credit,Russian,Yes,Male,,2.0,6-8,No,,Strongly Agree,Strongly Agree,,2020-09-19 20:19:26,39767
135,SSS0138,0 2 4 7 9,True,BBBBAABBABBB,-0.4178554470186725,12,6,0.61279296875,1267.4150000093505,908.8174999924377,1248.7325000111014,1783.5900000063702,0.8274825118233096,1.4666666666666666,2.8,0.0,0.0,-339.9150000186637,0.7277919810562776,6.0,6.0,3.0,3.0,9.0,3.0,3.0,9.0,3.0,15.0,15.0,15.0,12.0,0.4,0.4,0.2,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5,0.0,0.0,138,19,No,in - ear headphones,,English,,,,SONA for course credit,,No,Female,,1.0,0,No,Piano,Strongly Agree,Neither Agree nor Disagree,Tapping,2020-09-21 15:03:49,40011
136,SSS0139,0 2 4 7 9,True,BABBBBABAABBBB,0.19847906537954918,14,10,0.08978271484375,3458.2725000004284,3458.2725000004284,2961.2650000001304,0.0,0.8151725794993817,1.2857142857142858,2.0714285714285716,0.0,0.0,497.007500000298,1.167836211889269,10.0,4.0,0.0,4.0,10.0,0.0,4.0,10.0,0.0,14.0,14.0,14.0,14.0,0.7142857142857143,0.2857142857142857,0.0,0.2857142857142857,0.7142857142857143,0.0,0.2857142857142857,0.7142857142857143,0.0,0.7142857142857143,0.2857142857142857,0.4285714285714286,0.4285714285714286,139,21,No,In-ear airpods pro,19,English,"Some went higher pitch than test, some went lower pitched",,Unknown,SONA for course credit,,Yes,Male,,4.0,1,"Yes, but not so well",Piano,Agree,Agree,Space between each note of the melodies,2020-09-18 14:17:45,39775
137,SSS0140,0 2 4 7 9,True,BBABAABBABABABB,1.5680501784085767,15,4,0.982421875,3418.6050000009127,2237.4875000002794,3551.0699999998324,0.0,0.8141205956292672,0.8,3.4,0.0,0.0,-1313.582499999553,0.6300882550894196,4.0,11.0,0.0,6.0,9.0,0.0,6.0,9.0,0.0,15.0,15.0,15.0,15.0,0.26666666666666666,0.7333333333333333,0.0,0.4,0.6,0.0,0.4,0.6,0.0,0.26666666666666666,0.7333333333333333,-0.4666666666666666,-0.4666666666666666,140,19,No,,,Other (please specify below):,,,,SONA for course credit,Chinese,Yes,Male,,2.0,0,No,,Strongly Agree,Strongly Agree,,2020-09-29 09:13:45,39614
138,SSS0141,0 2 4 7 9,True,ABBBBAAAABBAAAA,-1.7920573467526584,15,6,0.84912109375,1191.7050000047311,1952.1474999783095,1056.3499999698251,0.0,0.80621375530437,1.4666666666666666,2.4,0.0,0.0,895.7975000084843,1.8480120225626666,6.0,9.0,0.0,9.0,6.0,0.0,9.0,6.0,0.0,15.0,15.0,15.0,15.0,0.4,0.6,0.0,0.6,0.4,0.0,0.6,0.4,0.0,0.4,0.6,-0.19999999999999996,-0.19999999999999996,141,21,No,"in-ear, Airpod Pros",14-15,English,,,,SONA for course credit,Chinese,No,Female,,0.0,0,No,,Strongly Agree,Agree,none,2020-09-26 23:05:29,36126
139,SSS0142,0 2 4 7 9,True,AABAABABBBBABABAABA,1.1962674870701449,19,11,0.3238029479980469,882.1849999949336,882.1849999949336,896.2250000042841,0.0,0.7789266845550366,1.894736842105263,2.263157894736842,0.0,0.0,-14.040000009350479,0.9843342910437854,11.0,8.0,0.0,10.0,9.0,0.0,10.0,9.0,0.0,19.0,19.0,19.0,19.0,0.5789473684210527,0.42105263157894735,0.0,0.5263157894736842,0.47368421052631576,0.0,0.5263157894736842,0.47368421052631576,0.0,0.5789473684210527,0.42105263157894735,0.1578947368421053,0.1578947368421053,142,18,No,headphone,,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,6.0,0,"Yes, I am near professional",chinese flute,Strongly Agree,Agree,,2020-09-18 20:40:16,40051
140,SSS0143,0 2 4 7 9,True,BAAAABAABAAABBABBB,-0.43766345035272025,18,13,0.048126220703125,440.8350000011269,373.20000000158325,900.3150000064634,0.0,0.7878955765068173,1.5555555555555556,3.1666666666666665,0.0,0.0,-527.1150000048801,0.4145215841110101,13.0,5.0,0.0,10.0,8.0,0.0,10.0,8.0,0.0,18.0,18.0,18.0,18.0,0.7222222222222222,0.2777777777777778,0.0,0.5555555555555556,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444,0.0,0.7222222222222222,0.2777777777777778,0.4444444444444444,0.4444444444444444,143,20,No,I used apple airpods,4 years old to 16 years old,Other (please specify below):,Most of the time there is one or two note changes in one of the options.,,Unknown,SONA for course credit,Chinese,Yes,Female,,8.0,9+,"Yes, I do alright","Piano, saxophone, bass guitar, guitar",Strongly Agree,Disagree,"mostly the similarity of the notes. If there is no obvious out-of-tune note, then I judge it based on the pattern",2020-09-27 00:05:14,37176
141,SSS0144,0 2 4 7 9,True,BBAABABBAAABBAAA,-0.4605661864718383,16,16,1.52587890625e-05,395.7725000218488,395.7725000218488,0.0,0.0,0.7949649684524259,1.375,2.3125,0.0,0.0,0.0,0.0,16.0,0.0,0.0,9.0,7.0,0.0,9.0,7.0,0.0,16.0,16.0,16.0,16.0,1.0,0.0,0.0,0.5625,0.4375,0.0,0.5625,0.4375,0.0,1.0,0.0,1.0,1.0,144,19,Yes,I listened with over-the-ear headphones that I got for $12 at Staples. It does not have a brand.,3-15,Other (please specify below):,I tried listening for the odd note out-- one that sounded off from the test melody.,,Unknown,SONA for course credit,Mandarin,Yes,Female,Sometimes I would just imagine a mood for the test melody and if the options strayed from that general mood (ie. evil to happy) I would assume something's off.,8.0,9+,"Yes, I do alright",Piano and violin,Strongly Agree,Agree,"I tried to discern the note that didn't fit with the general test melody. Or if the first option was very similar to the test melody, I would be ready to listen carefully for a ""wrong note"" in the upcoming option 2. ",2020-09-23 22:37:00,39725
142,SSS0145,0 2 4 7 9,True,AAABAABAABBB,-0.52051509160747,12,5,0.80615234375,2295.3950000014156,673.1949999965727,2755.0550000034273,11956.070000000298,0.7870012247812094,1.7857142857142858,2.7857142857142856,0.0,0.0,-2081.8600000068545,0.24434902388363763,5.0,7.0,2.0,7.0,5.0,2.0,7.0,5.0,2.0,14.0,14.0,14.0,12.0,0.35714285714285715,0.5,0.14285714285714285,0.5,0.35714285714285715,0.14285714285714285,0.5,0.35714285714285715,0.14285714285714285,0.4166666666666667,0.5833333333333334,-0.14285714285714285,-0.16666666666666669,145,18,No,in ear apple wire earbuds,5-13,Other (please specify below):,minor / major key,,Unknown,SONA for course credit,Mandarin,Yes,Female,,3.0,6-8,"Yes, but not so well",Violin,Strongly Agree,Strongly Agree,hum the first melody,2020-09-20 02:39:20,39899
143,SSS0146,0 2 4 7 9,True,BBAAABBAABBBB,-1.3248486255406748,13,10,0.046142578125,1247.4675000121351,1302.3275000159629,1000.3199999919161,2526.580000005197,0.7778145213861575,2.2857142857142856,2.5,0.0,0.0,302.00750002404675,1.301910888542154,10.0,3.0,1.0,5.0,8.0,1.0,5.0,8.0,1.0,14.0,14.0,14.0,13.0,0.7142857142857143,0.21428571428571427,0.07142857142857142,0.35714285714285715,0.5714285714285714,0.07142857142857142,0.35714285714285715,0.5714285714285714,0.07142857142857142,0.7692307692307693,0.23076923076923078,0.5,0.5384615384615385,146,20,Yes,"Over the ear, Bose Noise-cancelling headphones",3 years until 17 years old,English,"Big jumps between notes, dissonant notes, notes that didn't ""belong""",,Unknown,SONA for course credit,,Yes,Female,"Towards the beginning, I tried listening for patterns unless a specific note jumped out; by the second-to-last block and the last block I was mainly listening for dissonant notes or notes that didn't belong",7.0,9+,"Yes, I do alright",Violin,Agree,Strongly Agree,"Patterns, listening for dissonant notes or notes that didn't match the general note ""theme"", listening for the big jumps",2020-09-19 20:54:13,36099
144,SSS0147,0 2 4 7 9,True,BBBABBAAAB,-0.5619514869490162,10,9,0.0107421875,1187.0200000121258,598.7249999889173,1491.3750000414439,1891.185000014957,0.8060916940835524,1.8,2.3333333333333335,0.0,0.0,-892.6500000525266,0.40145838569929043,9.0,1.0,5.0,4.0,6.0,5.0,4.0,6.0,5.0,15.0,15.0,15.0,10.0,0.6,0.06666666666666667,0.3333333333333333,0.26666666666666666,0.4,0.3333333333333333,0.26666666666666666,0.4,0.3333333333333333,0.9,0.1,0.5333333333333333,0.8,147,20,Yes,in-ear headphones/earbuds,"7-9, 18-19",English,"peaks in melody, the first and last notes",,Unknown,SONA for course credit,,Yes,Female,"block 3 or 4, i just started basing off gut instinct",5.0,4-5,"Yes, but not so well",violin,Agree,Agree,memory,2020-09-19 21:26:02,37857
145,SSS0148,0 2 4 7 9,True,AABBABBBBBAA,-1.1451332015364342,12,9,0.072998046875,3322.7124999975786,3077.889999956824,3567.5350000383332,3343.262500013225,0.7807874051155871,1.5,3.357142857142857,0.0,0.0,-489.64500008150935,0.8627497697776622,9.0,3.0,2.0,5.0,7.0,2.0,5.0,7.0,2.0,14.0,14.0,14.0,12.0,0.6428571428571429,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.5,0.14285714285714285,0.35714285714285715,0.5,0.14285714285714285,0.75,0.25,0.4285714285714286,0.5,148,18,No,in-ear,11-18,English,"whether i heard any dissonance, or any change in minor/minor key",,Unknown,SONA for course credit,,Yes,Female,,8.0,4-5,"Yes, I am near professional",Cello,Strongly Agree,Agree,,2020-09-29 18:18:21,39812
146,SSS0149,0 2 4 7 9,True,BBAAABBAAAABBAAB,-0.9869275424396534,16,11,0.1050567626953125,1436.5375000052154,1594.2400000058115,1075.124999973923,1662.165000103414,0.7780387692192056,1.6666666666666667,2.5555555555555554,0.0,0.0,519.1150000318885,1.4828415300960163,11.0,5.0,2.0,9.0,7.0,2.0,9.0,7.0,2.0,18.0,18.0,18.0,16.0,0.6111111111111112,0.2777777777777778,0.1111111111111111,0.5,0.3888888888888889,0.1111111111111111,0.5,0.3888888888888889,0.1111111111111111,0.6875,0.3125,0.33333333333333337,0.375,149,21,Yes,in-ear headphones,4-21,Other (please specify below):,some notes shift between major and minor keys,,Unknown,SONA for course credit,Chinese,Yes,Female,pitches shift between going up and going down,7.0,9+,"Yes, I am a professional","Guzheng, guitar, piano, snare drum",Strongly Agree,Strongly Agree,,2020-09-20 02:19:36,36225
147,SSS0150,0 2 4 7 9,True,BBBAABAAAABB,-1.2110601416389966,12,9,0.072998046875,5817.129999996163,3265.9900000002235,12430.315000005066,6232.409999997355,0.7641228445782433,1.7647058823529411,3.3529411764705883,0.0,0.0,-9164.325000004843,0.26274394494418624,9.0,3.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,17.0,17.0,17.0,12.0,0.5294117647058824,0.17647058823529413,0.29411764705882354,0.35294117647058826,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.35294117647058826,0.29411764705882354,0.75,0.25,0.3529411764705882,0.5,150,22,No,speakers,6-10,Other (please specify below):,,,,SONA for course credit,Chinese,No,Male,,9.0,4-5,"Yes, I do alright",percussion,Strongly Agree,Neither Agree nor Disagree,the end pitches,2020-09-20 05:02:41,39654
148,SSS0151,0 2 4 7 9,True,AABABABABBBBA,0.8971226080325131,13,8,0.29052734375,2001.5600000061095,1911.370000001043,3299.82999997586,2858.1975000109524,0.7677446928811652,1.2352941176470589,2.9411764705882355,0.0,0.0,-1388.459999974817,0.5792328695766223,8.0,5.0,4.0,6.0,7.0,4.0,6.0,7.0,4.0,17.0,17.0,17.0,13.0,0.47058823529411764,0.29411764705882354,0.23529411764705882,0.35294117647058826,0.4117647058823529,0.23529411764705882,0.35294117647058826,0.4117647058823529,0.23529411764705882,0.6153846153846154,0.38461538461538464,0.1764705882352941,0.23076923076923078,151,19,No,headphones,16,Spanish,,,,SONA for course credit,,No,Female,,5.0,2-3,"Yes, I do alright",guitar and piano,Strongly Agree,Strongly Disagree,ranges between intervals,2020-09-24 02:39:16,40187
149,SSS0152,0 2 4 7 9,True,ABBBABAAAABBABAB,0.5175491695067657,16,15,0.0002593994140625,704.3349999999627,522.0099999988452,1971.9900000002235,2502.7350000003353,0.7768155856283365,1.6470588235294117,2.5294117647058822,0.0,0.0,-1449.9800000013784,0.26471229570068106,15.0,1.0,1.0,8.0,8.0,1.0,8.0,8.0,1.0,17.0,17.0,17.0,16.0,0.8823529411764706,0.058823529411764705,0.058823529411764705,0.47058823529411764,0.47058823529411764,0.058823529411764705,0.47058823529411764,0.47058823529411764,0.058823529411764705,0.9375,0.0625,0.8235294117647058,0.875,152,18,No,"headphones, over-the-ear",10,Other (please specify below):,,,,SONA for course credit,Mandarin,No,Female,,7.0,4-5,"Yes, I do alright","violin, piano",Strongly Agree,Agree,the notes,2020-09-20 05:11:24,39533
150,SSS0153,0 2 4 7 9,True,BBABAABBAAABAABBB,-0.23662840251096373,17,10,0.3145294189453125,3595.7350000026636,4896.910000003176,2989.1099999947473,0.0,0.7863565972520018,1.2352941176470589,2.8823529411764706,0.0,0.0,1907.8000000084285,1.638250181496091,10.0,7.0,0.0,8.0,9.0,0.0,8.0,9.0,0.0,17.0,17.0,17.0,17.0,0.5882352941176471,0.4117647058823529,0.0,0.47058823529411764,0.5294117647058824,0.0,0.47058823529411764,0.5294117647058824,0.0,0.5882352941176471,0.4117647058823529,0.17647058823529416,0.17647058823529416,153,22,No,in-ear apple headphone,9-18,Other (please specify below):,sudden high pitches,,Unknown,SONA for course credit,chinese,Yes,Female,"I did not really have a strategy for the first 3-4 block. But in the 5th one on, I would visualize and capture how I felt listening to the original one. If one of the options made me feel more different or visualize something different that would be the more different one.",3.0,0,"Yes, but not so well",drum set,Strongly Agree,Strongly Agree,instinct ,2020-10-13 03:13:48,39983
151,SSS0154,0 2 4 7 9,True,BABBBBBABBAAABBB,-0.5332285519249769,16,11,0.1050567626953125,888.425000004936,1030.380000011064,632.6249999981374,0.0,0.764801103333296,1.9375,2.375,0.0,0.0,397.75500001292676,1.6287374036974478,11.0,5.0,0.0,5.0,11.0,0.0,5.0,11.0,0.0,16.0,16.0,16.0,16.0,0.6875,0.3125,0.0,0.3125,0.6875,0.0,0.3125,0.6875,0.0,0.6875,0.3125,0.375,0.375,154,21,No,in ear,,Other (please specify below):,"sometimes a note is missed, sometimes some notes are higher or lower than the test melody",,Unknown,SONA for course credit,Chinese,Yes,Female,,5.0,1,"Yes, but not so well",piano,Agree,Agree,"whether a note is missed, whether a note is higher or lower that seems out of place",2020-10-13 07:30:04,39016
152,SSS0155,0 2 4 7 9,True,ABAABBAAA,0.0,9,6,0.25390625,1013.635000010021,343.0850000004284,1574.3800000054762,3616.2674999942537,0.7575965613930085,1.7692307692307692,2.6923076923076925,0.0,0.0,-1231.2950000050478,0.2179175294396747,6.0,3.0,4.0,6.0,3.0,4.0,6.0,3.0,4.0,13.0,13.0,13.0,9.0,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.23076923076923078,0.3333333333333333,155,20,Yes,Over the ear beats headphones,4-18,English,Whether the sequence followed the general melody,,Unknown,SONA for course credit,,Yes,Female,"Sometimes both were different and sounded equally different, then I would judge by the intervals",8.0,9+,"Yes, I do alright",Cello,Strongly Agree,Disagree,"What sounded ""out of place"", an irregular note, key change, major to minor, etc",2020-09-27 18:05:47,38389
153,SSS0156,0 2 4 7 9,True,BBABAABBAAB,0.3499271061118829,11,9,0.03271484375,3542.615000013262,2019.8799999784678,6698.839999996126,4344.4000000031665,0.8232876677312374,1.3846153846153846,3.076923076923077,0.0,0.0,-4678.960000017658,0.3015268315080874,9.0,2.0,2.0,5.0,6.0,2.0,5.0,6.0,2.0,13.0,13.0,13.0,11.0,0.6923076923076923,0.15384615384615385,0.15384615384615385,0.38461538461538464,0.46153846153846156,0.15384615384615385,0.38461538461538464,0.46153846153846156,0.15384615384615385,0.8181818181818182,0.18181818181818182,0.5384615384615384,0.6363636363636365,156,18,No,headphones (in-ear),4-15,Other (please specify below):,the changes in specific notes,,Unknown,SONA for course credit,Chinese,No,Female,,6.0,9+,"Yes, I do alright",piano,Strongly Agree,Neither Agree nor Disagree,the notes and tones,2020-10-21 08:39:42,40039
154,SSS0157,0 2 4 7 9,True,BABAABAAABABABABAA,2.279211529192759,18,10,0.40726470947265625,3167.6775000232738,3334.9450000096112,3167.6775000232738,0.0,0.7884894638025138,1.4444444444444444,2.611111111111111,0.0,0.0,167.2674999863375,1.0528044600452882,10.0,8.0,0.0,11.0,7.0,0.0,11.0,7.0,0.0,18.0,18.0,18.0,18.0,0.5555555555555556,0.4444444444444444,0.0,0.6111111111111112,0.3888888888888889,0.0,0.6111111111111112,0.3888888888888889,0.0,0.5555555555555556,0.4444444444444444,0.11111111111111116,0.11111111111111116,157,18,No,Headphones. Airpods pro ,10-12,Other (please specify below):,For some melodies I could notice that there were notes that were off or that I did not hear on the test melody,,Unknown,SONA for course credit,Twi,Yes,Female,,0.0,0,No,guitar,Agree,Agree,I looked for little differences in pitch and in notes,2020-10-13 09:30:25,40235
155,SSS0158,0 2 4 7 9,True,BABBAAAAAB,-0.5619514869490162,10,5,0.623046875,2129.6849999926053,2184.899999992922,2083.8000000221655,2123.7949999631383,0.8009337118228205,1.0555555555555556,3.2222222222222223,0.0,0.0,101.09999997075647,1.0485171321478457,5.0,5.0,8.0,6.0,4.0,8.0,6.0,4.0,8.0,18.0,18.0,18.0,10.0,0.2777777777777778,0.2777777777777778,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.5,0.5,0.0,0.0,158,19,No,'skull' In-ear headphones,12-17,English,higher/lower notes,,Unknown,SONA for course credit,,Yes,Other,,7.0,4-5,"Yes, but not so well","Piano, Guitar",Strongly Agree,Strongly Disagree,"not sure, just listing for things that stick out",2020-09-23 23:22:12,40186
156,SSS0159,0 2 4 7 9,True,ABBAABABBB,0.14048787173725422,10,9,0.0107421875,1921.3849999941885,1423.4250000445172,2209.6749999327585,2358.9500000234693,0.7870268783941877,1.6470588235294117,2.9411764705882355,0.0,0.0,-786.2499998882413,0.6441784425708906,9.0,1.0,7.0,4.0,6.0,7.0,4.0,6.0,7.0,17.0,17.0,17.0,10.0,0.5294117647058824,0.058823529411764705,0.4117647058823529,0.23529411764705882,0.35294117647058826,0.4117647058823529,0.23529411764705882,0.35294117647058826,0.4117647058823529,0.9,0.1,0.47058823529411764,0.8,159,17,No,airpods (in ear),,,,,,SONA for course credit,,No,Female,,4.0,0,"Yes, but not so well","Piano, violin",Strongly Agree,Agree,,2020-09-20 14:35:26,39905
157,SSS0160,0 2 4 7 9,True,AABAABBBBBBBABAA,-0.9869275424396534,16,15,0.0002593994140625,916.3949999783654,850.2999999909662,982.4899999657646,0.0,0.783340815651279,1.5625,2.75,0.0,0.0,-132.1899999747984,0.8654541013349707,15.0,1.0,0.0,7.0,9.0,0.0,7.0,9.0,0.0,16.0,16.0,16.0,16.0,0.9375,0.0625,0.0,0.4375,0.5625,0.0,0.4375,0.5625,0.0,0.9375,0.0625,0.875,0.875,160,18,No,Speakers,,English,i was generally more in tune with melodies i found more rhythmically  pleasing.,,Unknown,SONA for course credit,,Yes,Female,,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Disagree,"I serached for ""off"" tones",2020-09-20 16:31:50,39559
158,SSS0161,0 2 4 7 9,True,BBBBABABABBAB,1.7007808110487483,13,9,0.1334228515625,2301.4225000003353,2277.6850000005215,1332.2375000026077,3176.264999994077,0.7613595273517644,2.111111111111111,2.5555555555555554,0.0,0.0,945.4474999979138,1.7096688841111762,9.0,4.0,5.0,4.0,9.0,5.0,4.0,9.0,5.0,18.0,18.0,18.0,13.0,0.5,0.2222222222222222,0.2777777777777778,0.2222222222222222,0.5,0.2777777777777778,0.2222222222222222,0.5,0.2777777777777778,0.6923076923076923,0.3076923076923077,0.2777777777777778,0.3846153846153846,161,19,No,In-ear headphones. Airpod pros with noise-cancellation turned on. ,,English,Changes in pitch.,,Unknown,SONA for course credit,,Yes,Female,,5.0,0,No,,Strongly Agree,Agree,"I didn't really have any general strategy. If anything, I was probably noticing changes in pitch, which have nothing to do with changes in melody. ",2020-09-20 20:40:29,39585
159,SSS0162,0 2 4 7 9,True,BAABBABABBAABBBAABA,0.7227449401048793,19,13,0.08353424072265625,2326.5499998815358,1469.380000140518,2729.5324999140576,0.0,0.7748672345922237,1.631578947368421,2.526315789473684,0.0,0.0,-1260.1524997735396,0.5383266182713644,13.0,6.0,0.0,9.0,10.0,0.0,9.0,10.0,0.0,19.0,19.0,19.0,19.0,0.6842105263157895,0.3157894736842105,0.0,0.47368421052631576,0.5263157894736842,0.0,0.47368421052631576,0.5263157894736842,0.0,0.6842105263157895,0.3157894736842105,0.368421052631579,0.368421052631579,162,18,Yes,Headphones,10-16,English,I tried to listen to out of place notes,,,SONA for course credit,,Yes,Male,Some of the melodies I had to listen closer to and try to understand the correct order/ number of notes,7.0,6-8,"Yes, I do alright","Piano, guitar",Agree,Agree,range of notes,2020-09-24 14:58:44,39967
160,SSS0163,0 2 4 7 9,False,BBAABBABAABAAA,0.08127540253305796,14,10,0.08978271484375,1581.6549999872223,1086.1424999311566,1799.0374999935739,5055.502499977592,0.7770656803878779,1.375,2.75,0.0,0.0,-712.8950000624172,0.6037353306615545,10.0,4.0,2.0,8.0,6.0,2.0,8.0,6.0,2.0,16.0,16.0,16.0,14.0,0.625,0.25,0.125,0.5,0.375,0.125,0.5,0.375,0.125,0.7142857142857143,0.2857142857142857,0.375,0.4285714285714286,163,19,No,in-ear,8-13,English,sometimes the key of a certain note seemed different.,,Unknown,SONA for course credit,,Yes,Female,,5.0,4-5,"Yes, but not so well","clarinet, piano",Strongly Disagree,Agree,,2020-09-20 20:23:13,39543
161,SSS0164,0 2 4 7 9,True,AAAAAABBAAAAAABB,-2.1213203435596424,16,7,0.7727508544921875,1003.3649999969639,734.3699999982491,1155.6199999977835,0.0,0.7632811573483143,1.375,2.75,0.0,0.0,-421.24999999953434,0.6354770599328998,7.0,9.0,0.0,12.0,4.0,0.0,12.0,4.0,0.0,16.0,16.0,16.0,16.0,0.4375,0.5625,0.0,0.75,0.25,0.0,0.75,0.25,0.0,0.4375,0.5625,-0.125,-0.125,164,18,No,Apple Airpods Pro ,17,Other (please specify below):,,,,SONA for course credit,Italian,No,Male,,5.0,1,"Yes, but not so well",Guitar,Strongly Agree,Strongly Disagree,I didn't use any,2020-09-23 23:27:46,39605
162,SSS0165,0 2 4 7 9,True,ABBABAABABBABB,1.2191310379958664,14,9,0.21197509765625,3199.612500000978,1686.39500002563,4950.194999983069,3531.365000002086,0.7775431759039478,1.9444444444444444,1.8333333333333333,0.0,0.0,-3263.7999999574386,0.34067243816281945,9.0,5.0,4.0,6.0,8.0,4.0,6.0,8.0,4.0,18.0,18.0,18.0,14.0,0.5,0.2777777777777778,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.6428571428571429,0.35714285714285715,0.2222222222222222,0.28571428571428575,165,20,No,"over the ear noise canceling headsets, bose ",8,English,,,,SONA for course credit,Chinese,No,Female,,1.0,0,No,Piano,Strongly Agree,Disagree,,2020-10-07 08:08:27,39542
