,subject,subject_age,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,How did you arrive at this experiment?,What is your first language (if other)?,subject_gender,How many years of formal music theory training do you have?,Do you have perfect (absolute) pitch?,What informed your judgement (if anything) of how familiar were the melodies?,What general strategy (if any) did you use to judge whether melodies had some notes that were more important than others?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
104,SSSQ0208,20,Speakers ,4-18,English,SONA for course credit,,Female,1,No,Hearing reoccurring notes,The tone of notes (major/minor),7,9+,"Yes, I do alright",Piano,Strongly Agree,Neither Agree nor Disagree,Focus on reoccurring notes,2020-11-27 14:18:58,40243
105,SSSQ0209,18,in - ear,12-17,English,SONA for course credit,,Female,2-3,No,,,6,4-5,"Yes, but not so well","Guitar, bass",Strongly Agree,Neither Agree nor Disagree,,2020-11-27 15:14:11,39554
106,SSSQ0210,19,in-ear headphones (airpods),12-18,English,SONA for course credit,,Female,0,No,Not really that familiar but some of them I may have heard,if there was a note that was a strong outlier I put that as more important,5,6-8,No,,Agree,Disagree,"how many steps it was from one note to the next, whether or not it flowed nicely",2020-12-03 23:26:17,39558
107,SSSQ0212,19,Over ear,9,English,SONA for course credit,,Male,1,Not sure,Feeling of if there are any notable repetitions,Feeling that if any of the note is obviously outstanding,5,1,"Yes, but not so well",Piano,Strongly Agree,Strongly Disagree,Feeling of if it is continuous,2020-11-27 14:56:37,39794
108,SSSQ0213,21,wireless headphones,,English,SONA for course credit,,Female,0,No,instinct.,,6,0,No,,Agree,Disagree,whether it felt forced/random or not,2020-11-27 15:54:18,35549
109,SSSQ0214,19,,,English,SONA for course credit,,Female,0,No,,,5,0,No,,Agree,Agree,sounds,2020-11-27 14:52:39,39834
110,SSSQ0215,19,"yes, in-ear",10-13,English,SONA for course credit,,Female,0,No,,,3,2-3,"Yes, but not so well",piano,Strongly Agree,Strongly Disagree,,2020-11-27 16:08:08,39669
111,SSSQ0216,21,over-the-ear headphones,7-12,Other (please specify below):,SONA for course credit,Chinese,Female,1,No,If I have listened similar melodies,If some notes draw more attention than others,3,4-5,"Yes, but not so well",Gu Zheng,Strongly Agree,Neither Agree nor Disagree,Intuition,2020-11-27 16:32:51,38706
112,SSSQ0217,19,In-ear headpjones,10-14,English,SONA for course credit,,Female,0,No,Previous hearing experience,Sounds that stuck out to me the most,4,4-5,"Yes, but not so well",Violin,Agree,Agree,None,2020-11-28 21:09:28,40256
113,SSSQ0219,21,Airpods,10-16,English,SONA for course credit,,Male,0,No,intuition,intuition,6,6-8,"Yes, I do alright","Piano, Clarinet",Agree,Neither Agree nor Disagree,My ear and intuition,2020-11-27 20:36:06,39698
114,SSSQ0220,20,"headphones, over the ear",,English,SONA for course credit,,Female,0,No,memory,none,0,0,No,,Agree,Disagree,none,2020-11-27 23:57:38,40309
115,SSSQ0222,20,over-the-ear headphones,10-16,English,SONA for course credit,,Male,0,Yes,songs i have listened to in the past/types of chords,some notes providing relief,7,4-5,"Yes, but not so well","piano, guitar",Strongly Agree,Disagree,recognizing parts of melodies from other songs,2020-11-28 04:40:59,39577
116,SSSQ0225,19,i used the original model of airpods  ,began at age 8 (third grade) and ended at age 14 (8th grade/freshman year of high school),English,SONA for course credit,,Female,1,No,humming them in my head ,i just listened to it ,5,6-8,"Yes, but not so well","i used to play the violin, and i tried to learn how to play piano and guitar",Strongly Agree,Disagree,none ,2020-11-28 14:50:50,38361
117,SSSQ0226,19,"over-the-ear, Beats headphones ",,English,SONA for course credit,,Female,0,No,,,1,0,No,,Strongly Agree,Neither Agree nor Disagree,,2020-11-28 15:15:27,39921
118,SSSQ0227,19,In ear,10-17,English,SONA for course credit,,Male,2-3,Not sure,if i had heard them previously in the experiment or in songs. ,any notes that stuck out from the rest,6,6-8,"Yes, but not so well","guitar,piano,violin",Agree,Disagree,how well they sounded in a major scale,2020-11-28 16:09:21,39783
119,SSSQ0228,21,"yes, airpods ",8,English,SONA for course credit,,Female,0,Not sure,previous experience,non,6,2-3,"Yes, I do alright",guitar,Strongly Agree,Disagree,my judgement,2020-11-28 16:46:52,39336
120,SSSQ0229,19,"Over-the-ear headphones, pioneer",6-17,English,SONA for course credit,,Female,1,No,"If I thought that I had heard them before, if they made me think of another song.",If the melody returned to a note frequently then I believed that some notes were more important than others.,8,9+,"Yes, I do alright","Guitar, Piano, Vocal ",Strongly Agree,Agree,If they were catchy and all the notes were in the same key.,2020-11-28 19:11:20,38376
121,SSSQ0231,18,"In-ear headphones- Apple Airpods, First Gen",,English,SONA for course credit,,Male,0,No,Similarity in prgression,Just Intuition,0,0,No,,Strongly Agree,Strongly Agree,General Intuition,2020-11-28 18:19:22,40294
122,SSSQ0232,19,"angled in-ear earbuds, skullcandy brand",,English,SONA for course credit,,Male,0,Not sure,I just got used to the sounds and they all sounded similar,If some notes were repeated (really high or really low) that meant they were important,2,0,No,,Strongly Agree,Agree,If this is something I would hear in a song,2020-11-28 19:52:08,39798
123,SSSQ0233,21,headphones over ear,,English,SONA for course credit,,Female,0,No,none,if they stood out from the key,3,0,No,,Strongly Agree,Strongly Disagree,just interpretation,2020-11-28 19:02:44,39755
124,SSSQ0234,18,headphones,13-17,English,SONA for course credit,,Male,0,No,,,7,6-8,"Yes, I do alright",violin,Agree,Neither Agree nor Disagree,if there is a tune that is distinct and memorizable ,2020-11-28 23:14:22,39781
125,SSSQ0236,22,In-ear earphone,5-8,Other (please specify below):,SONA for course credit,Chinese,Male,0,No,Just by first impression,Just by first impression,3,2-3,"Yes, but not so well",Piano,Agree,Neither Agree nor Disagree,Repeat in my head,2020-11-29 04:01:32,39094
126,SSSQ0237,21,I am using a 'HyperX Cloud II Pro Gaming Headset (Gun Metal)',middle school,Other (please specify below):,SONA for course credit,Mandarin,Male,0,No,the arrangement of notes,I didn't really feel that way about any of the melodies,1,2-3,"Yes, but not so well","violin, guitar",Disagree,Strongly Agree,how nice it sounded I guess,2020-11-29 11:24:31,39835
127,SSSQ0238,20,over-the-ear headphones,,English,SONA for course credit,,Male,0,No,whether the tones sounded like something i heard before,just listened to the melodies and decided if some notes were more prominent/important,2,0,No,,Strongly Agree,Strongly Disagree,no general strategy,2020-11-29 14:51:52,39595
128,SSSQ0239,20,"Headphones (in-ear), Bose",,English,SONA for course credit,,Female,0,No,If I recognized them or not.,"No strategy, I just went with my gut.",2,0,No,,Agree,Neither Agree nor Disagree,No strategy,2020-11-29 15:18:18,37252
129,SSSQ0242,18,,7-12,English,SONA for course credit,,Female,2-3,No,,,3,4-5,"Yes, but not so well","piano, guitar",Strongly Agree,Strongly Disagree,,2020-11-29 16:39:49,39583
130,SSSQ0243,19,Over-the-ear gaming headphones,11-17,English,SONA for course credit,,Male,4-5,Yes,"immediate recognition from outside source, recollection from previous clips","if any notes sounded like the beginning of a new phrase, highs or lows that matched the melodic key",9,6-8,"Yes, I do alright",French Horn,Strongly Agree,Neither Agree nor Disagree,"starting and ending pitches, interval patterns",2020-11-29 17:49:14,39789
131,SSSQ0245,19,Apple earphones ,7-11,Other (please specify below):,SONA for course credit,Russian,Female,2-3,No,if certain parts of the melodies (or certain order of notes) sounded like pieces I have heard before,if it just felt like some were more stressed after hearing the whole thing,6,4-5,"Yes, but not so well",piano,Strongly Agree,Neither Agree nor Disagree,,2020-11-29 19:24:42,40304
132,SSSQ0247,19,In-ear earphones- Apple Airpods,10-12,English,SONA for course credit,,Female,0,Not sure,Music I have listened to in the past,"Just listening for notes that ""stood out""",6,2-3,"Yes, I do alright",Alto Saxophone,Strongly Agree,Disagree,"Just my personal opinion, what sounded like it ""fit"" with all of the notes",2020-11-29 23:33:15,40044
133,SSSQ0248,18,Airpods in-ear,15-16,English,SONA for course credit,,Female,0,No,"I based it off of the rhythm, and specific notes that stood out to me.","By the end of the clip, there would be certain notes that stuck in my head. ",1,1,"Yes, but not so well",piano,Agree,Agree,I based it on consonance and if there was a rhythm. ,2020-11-30 22:52:34,39527
134,SSSQ0249,19,airpods ,,English,SONA for course credit,,Female,0,No,comparing to a song or beat ive heard before ,just seeing if any stood out ,6,0,No,,Strongly Agree,Neither Agree nor Disagree,listening carefully as if i was listening to a song ,2020-11-30 03:18:24,39896
135,SSSQ0250,19,Headphones (in-ear),8-12,Other (please specify below):,SONA for course credit,Korean,Female,0,Yes,I judged by my instinct on whether I heard the similar melody before,"At first, I judged this by any outstanding notes that does not go along with other notes. However, I realized that as I was doing this experiment (starting from the second set), I started to see that I judged this by the repetition of the notes. ",6,4-5,"Yes, I do alright","Piano, flute, violin",Agree,Neither Agree nor Disagree,"I listen carefully to the audio clips and see if the notes play well together, meaning either all the notes are major or minor chords.",2020-11-30 05:30:08,40059
136,SSSQ0252,19,headphones(airpods),6-8,Other (please specify below):,SONA for course credit,Korean,Female,1,No,,,0,1,No,,Strongly Agree,Strongly Agree,,2020-11-30 09:16:17,40120
137,SSSQ0256,21,"headphones (airpod pro's, noise cancellation on)",20-21,English,SONA for course credit,,Female,1,Yes,Gut/memories it brought up,"I honestly dont really get how a note can be ""more important"" so I put 1's or 2's for most of them",6,1,No,,Agree,Neither Agree nor Disagree,,2020-11-30 14:19:25,38185
138,SSSQ0257,20,Earphones,4-18,English,SONA for course credit,,Female,6+,Not sure,just familiarity by instinct,"Volume, pitch, the note for a given melody (some melodies 'value' different notes?)",8,9+,"Yes, I am near professional",Piano,Strongly Agree,Strongly Agree,"Going by ear (cadences, interval values, etc.)",2020-11-30 15:01:27,39608
139,SSSQ0260,18,Headphones,5-14,English,SONA for course credit,,Male,2-3,No,Not really,None,8,9+,"Yes, I do alright","Piano, percussion, guitar",Strongly Agree,Strongly Disagree,Not really any,2020-11-30 16:50:00,40100
140,SSSQ0262,21,in ear headphones,11-17,English,SONA for course credit,,Female,2-3,Not sure,if they reminded me of a song ,i tried to listen for distinct notes ,10,6-8,"Yes, I do alright",guitar,Agree,Neither Agree nor Disagree,measuring the chord progression from how things sounded from the beginning to how they landed at the end,2020-11-30 18:28:49,40232
141,SSSQ0266,23,in-ear,,Other (please specify below):,SONA for course credit,Mandrain,Male,0,Not sure,know it before,no,4,0,"Yes, but not so well",piano,Neither Agree nor Disagree,Neither Agree nor Disagree,"be familiar with, the tone is flat or steep, mood also",2020-12-01 03:24:50,39677
142,SSSQ0270,21,in-ear,6-14,Other (please specify below):,SONA for course credit,Chinese,Female,1,No,part of the melodies,higher notes vs. lower notes. I seemed to take higher notes as the more important ones.,5,6-8,"Yes, I do alright",Piano,Agree,Disagree,feel if it sounds harmonic ,2020-12-01 06:19:17,40006
143,SSSQ0272,19,in-ear,6-9,Other (please specify below):,SONA for course credit,Chinese,Female,1,No,,,6,2-3,"Yes, but not so well",Piano,Agree,Neither Agree nor Disagree,,2020-12-01 11:22:27,40131
144,SSSQ0274,19,"over the ear headphones, beats studio 3",13-14,Other (please specify below):,SONA for course credit,Italian,Male,1,Not sure,"if while listening i recognised the melody or part of it, even just a few notes",notes that stood out while listening,8,1,"Yes, but not so well",Guitar,Strongly Agree,Disagree,By gut feeling ,2020-12-01 16:35:08,39713
145,SSSQ0275,20,"over-the-ear headphones, Sony WH-1000XM3",12-18,English,SONA for course credit,,Male,0,No,"If I can connect the clip to a longer musical phrase. i.e. the ""Statefarm"" sound",high notes in between low notes,6,6-8,"Yes, I do alright",Trombone,Agree,Agree,"If it sounds correct in my head, usually involving scales I'd imagine",2020-12-01 18:00:57,40295
146,SSSQ0276,19,"headphones - over the ear, beats studio 3",6-13,English,SONA for course credit,,Female,6+,No,how much they sounded like things I've heard on piano before,if there were notes that resolved dissonance or if they were surprising (in a good way),8,6-8,"Yes, I do alright",guitar and piano,Strongly Disagree,Strongly Agree,if they were in the same key,2020-12-01 18:46:33,40286
147,SSSQ0278,20,in-ear,,English,SONA for course credit,,Male,0,No,weather,Feelings,5,0,No,,Agree,Agree,feeling,2020-12-01 19:12:24,39718
148,SSSQ0280,18,in-ear ,10,Spanish,SONA for course credit,,Female,4-5,No,Similar rhythm or pattern ,Depending on how high or low the note went or whether they were stronger ,6,4-5,"Yes, I do alright",Piano,Strongly Agree,Strongly Agree,High and low notes,2020-12-01 21:22:38,40073
149,SSSQ0281,19,I used over-the-ear headphones. Audio-Technica ATH-M50x.,13-14 & 18 on.,English,SONA for course credit,,Female,0,Not sure,"Mostly just a gut feeling, but in some cases I was able to identify what parts I recognized and why I recognized them.","I listened for how radically different each note was from the one before it, and how much of a difference the first and last notes made to my impression of the clip. ",10,2-3,"Yes, I do alright","Guitar, piano",Agree,Strongly Agree,"I listened for whether or not they stayed within a specific key, and how radically the notes strayed from the key.",2020-12-01 23:13:09,40144
150,SSSQ0283,18,in ear,5-16,English,SONA for course credit,,Female,6+,No,none,none,9,6-8,"Yes, I do alright","piano, clarinet",Agree,Strongly Agree,none,2020-12-01 23:34:55,39847
151,SSSQ0286,18,In-ear AirPods,,English,SONA for course credit,,Female,0,No,If it sounded recognizable,If one note stood out more than others,4,0,"Yes, but not so well",Violin,Strongly Agree,Neither Agree nor Disagree,I tried to see if I enjoyed listening to the audio,2020-12-02 03:29:17,40149
152,SSSQ0289,22,,16-18,Other (please specify below):,SONA for course credit,Turkish,Male,2-3,No,,,7,2-3,"Yes, but not so well",piano and guitat,Strongly Agree,Disagree,ı didnt used,2020-12-02 05:17:16,36823
153,SSSQ0294,20,Headphones: in-ear,6-11,Spanish,SONA for course credit,,Female,0,No,How they sounded to me (mostly guessed),How many times I thought a note was repeated,6,4-5,No,,Agree,Disagree,How coherent the changes from one note to the next sounded,2020-12-03 15:57:35,36247
154,SSSQ0295,19,headphones,6-14,English,SONA for course credit,,Female,1,No,,,3,6-8,No,,Strongly Agree,Disagree,,2020-12-03 16:32:27,37768
155,SSSQ0296,18,headphones,15-17,English,SONA for course credit,,Female,0,No,at a certain point they all sounded similar to previous melodies,if there was one note to low or one note too high,4,2-3,"Yes, but not so well",flute,Agree,Strongly Agree,"if i felt like i could hum it back after hearing it, it was melodic to me",2020-12-03 20:06:14,39857
156,SSSQ0298,19,"Headphones, over-the-ear",17,English,SONA for course credit,,Female,0,Not sure,If the tune had a similar progression to a song I know,If certain notes hung longer than others,4,1,"Yes, but not so well",Guitar,Strongly Agree,Disagree,If the notes followed a certain pattern or scale,2020-12-03 21:04:17,39672
