,subject,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,Q15 - Parent Topics,Q15 - Topics,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
183,SSS0183,18,No,"in-ear, AirPods",12-13,English,I judged the difference based on the differences between high and low notes,,,SONA for course credit,,Yes,Female,,3,2-3,"Yes, but not so well",Guitar,Agree,Agree,None,2020-09-29 16:27:31,39889
184,SSS0184,18,No,in-ear,4-18,English,,,,SONA for course credit,,No,Male,,8,9+,"Yes, I do alright",Piano,Agree,Neither Agree nor Disagree,Listen carefully,2020-10-02 12:27:24,39622
185,SSS0185,20,No,Headphones (Airpods),,English,the keys,,Unknown,SONA for course credit,,Yes,Male,,1,0,No,None,Agree,Neither Agree nor Disagree,i looked at both high and low notes to see if there were any small tweaks between melodies,2020-09-21 14:03:24,39508
186,SSS0186,20,No,Earphones,8-13,English,Prolonged versions of melodies and super low or high-pitched sounds introduced. ,,,SONA for course credit,Chinese,Yes,Female,around the middle i focused more on the overall sound of the melody and the key (like if it sounded out of tune),3,4-5,No,piano,Strongly Agree,Agree,Tapping my foot or finger to the melodies. ,2020-10-20 21:59:38,40208
187,SSS0187,18,No,Over-the-ear headphones,9-15,English,"The melodies had different pitched notes or differed in terms of sharps and flats, majors and minors.",,,SONA for course credit,,Yes,Male,,7,6-8,"Yes, I do alright","Double bass, keyboard",Strongly Agree,Agree,Listen to both melodies and try to identify atonalities or extra notes,2020-09-27 07:55:24,39539
188,SSS0188,18,Yes,in-ear headphones,9 or 10,English,"Discriminations based on length, and the middle portion of the melody since that was the portion that usually had the differences.",,Unknown,SONA for course credit,,Yes,Female,I think the lenght of the melody increased and decreased throughout the experiment.,4,1,"Yes, but not so well",Recorder,Strongly Agree,Disagree,I would tap my fingers and my feet.,2020-09-29 18:22:04,39865
189,SSS0189,17,No,headphones,10-14,Spanish,pitch ,,,SONA for course credit,,Yes,Female,,8,4-5,"Yes, I do alright",piano and ukelele,Strongly Agree,Neither Agree nor Disagree,pitch,2020-09-27 10:38:33,39986
190,SSS0190,18,No,apple earphones,6-11,English,,,,SONA for course credit,,No,Female,,6,4-5,"Yes, I do alright",flute,Strongly Agree,Agree,,2020-10-02 18:15:24,40031
191,SSS0191,21,No,In-year headphone,6-20,Other (please specify below):,,,,SONA for course credit,Chinese,No,Male,"7, because the two options became extremely similar",8,9+,"Yes, I am near professional",Saxophone,Agree,Disagree,The pattern and the notes,2020-10-02 18:24:39,38866
192,SSS0192,17,No,In-ear wired earphones. ,7 - 15,Other (please specify below):,,,,SONA for course credit,Indonesian,No,Female,,2,2-3,"Yes, but not so well",Ukulele,Agree,Agree,"I compared Option 1 to the Test Melody and focused on whether the differing notes went up or down, and then applied it to Option 2. ",2020-10-20 18:04:54,39651
193,SSS0193,18,No,over the ear JBL,,English,,,,SONA for course credit,,No,Female,3rd block I closed my eyes.,1,0,No,,Strongly Agree,Disagree,trying to hear the pitches,2020-09-30 16:31:59,39893
194,SSS0194,20 ,No,earphones ,10 ,English,,,,SONA for course credit,,No,Female,,5,1,"Yes, but not so well",Piano ,Strongly Agree,Strongly Agree,no strategy went with what sounded similar ,2020-09-30 17:55:36,39694
195,SSS0195,18,No,Yes- Airpods,I was between 6-18 years old,English,Sharps and flats,,,SONA for course credit,German,Yes,Female,,7,9+,"Yes, I do alright",piano and voice,Strongly Agree,Agree,I would see if the melodies were different through different sharps and flats and I would also sometimes hum them out loud and see what was different between the melodies ,2020-10-20 23:25:06,39538
196,SSS0198,20,No,earphones,around 4 years old,Other (please specify below):,"The melodies from the last block are mostly consonance and stepwise, making it easier to grasp the gist of the original melody.",,Unknown,SONA for course credit,Cantonese,Yes,Female,,10,9+,"Yes, I am near professional","Piano, flute, guzheng, voice",Strongly Agree,Neither Agree nor Disagree,occurrence of dissonance and chromatics,2020-09-21 17:00:41,37861
197,SSS0199,20,No,Airpods,11,Spanish,I listened to specific key notes and mouthed them out while following along. This helped discriminate between the two sample audios.,,,SONA for course credit,,Yes,Female,,7,1,"Yes, but not so well",Flute,Strongly Agree,Disagree,how different they sound,2020-10-18 20:43:55,40211
198,SSS0200,18,No,"in ear, airpods",11,English,,,,SONA for course credit,,No,Female,,5,1,No,piano,Agree,Strongly Agree,paid attention to the first few notes,2020-10-13 15:07:52,39849
199,SSS0201,18,No,in-ear,,English,,,,SONA for course credit,,No,Female,,3,0,"Yes, I do alright",flute,Strongly Agree,Neither Agree nor Disagree,i payed attention to pitch ,2020-09-29 18:42:34,39857
200,SSS0202,18,No,in-ear akg wired earphones,,English,I noticed different notes that were added to confuse the listener,,,SONA for course credit,,Yes,Male,,0,0,No,,Strongly Agree,Strongly Agree,"listened for beat drops, or change in pitches",2020-09-29 19:06:37,40084
201,SSS0203,19,No,Air pods First edition ,9-12,English,,,,SONA for course credit,,No,Male,,8,2-3,"Yes, but not so well",guitar,Agree,Neither Agree nor Disagree,Listen to the melodies to the best of my ability. ,2020-10-13 15:06:56,39692
202,SSS0204,20,Yes,over the ear beats ,8-18,English,sometimes there were sharps are flats that were clearly different than the melody,,,SONA for course credit,,Yes,Female,i tried to focus on the screen at first but then i closed my eyes then i tried laying down and closing my eyes then i sat up; every block was different,8,9+,"Yes, but not so well",piano,Strongly Agree,Agree,kind of moved my head and fingers with the melody ,2020-10-05 20:20:26,40220
203,SSS0205,18,Yes,Headphones. Bose Soundsport In-Ear,15,English,Often times between major and minor scale or the melody felt like it was put up a pitch.,,Unknown,SONA for course credit,,Yes,Male,Ear,9,2-3,"Yes, I am near professional",Tenor Sax,Strongly Agree,Agree,Intervals,2020-10-03 12:06:01,39566
204,SSS0206,19,No,over-the-ear headphones,,English,,,,SONA for course credit,,No,Female,,5,0,No,,Strongly Agree,Strongly Agree,,2020-10-02 19:19:05,39655
205,SSS0207,18,No,in ear,14-17,English,,,,SONA for course credit,,No,Female,,6,2-3,"Yes, but not so well",guitar,Strongly Agree,Agree,,2020-09-29 20:20:18,39554
206,SSS0208,19,No,In-ear headphones,,English,,,,SONA for course credit,,No,Male,,1,0,No,None,Agree,Neither Agree nor Disagree,Hearing the notes in the middle,2020-10-20 21:12:30,39808
207,SSS0209,20,No,"over-the-ear headphones, Bose Q35",14,English,I looked for a decrease in volume or a note with a distinct sound and compared that specific sound between the two options,,,SONA for course credit,,Yes,Male,,2,1,"Yes, but not so well",Piano,Strongly Agree,Agree,Identifying patterns or comparing pitch,2020-09-29 20:15:03,39540
208,SSS0210,20,No,APPLE WIRED HEADPHONES,6-14,English,WHEN SOME OF THE NOTES WENT HIGHER OR LOWER,,,SONA for course credit,Chinese,Yes,Female,,3,6-8,No,Guitar,Agree,Agree,I TRIED TO SEE IF THE FIRST OPTION MATCHED THE TEST OPTION BECAUSE IT WAS HARD TO REMEMBER THE TEST OPTION WHEN THE SECOND OPTION PLAYED,2020-10-13 14:52:28,40229
209,SSS0211,20,No,over the ear,8,Other (please specify below):,change of tones and adding notes,,,SONA for course credit,chinese,Yes,Male,,6,9+,"Yes, I am a professional","saxophones,flute,trumpet",Agree,Agree,just want to get over it,2020-10-05 15:21:53,39718
210,SSS0212,18,No,AirPods,13-18,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,6,4-5,"Yes, I do alright",flute,Strongly Agree,Agree,listen to the change in highest/lowest notes ,2020-10-06 20:15:52,39744
211,SSS0213,19,No,headphones ,14-19,English,,,,SONA for course credit,,No,Female,,5,6-8,"Yes, I do alright","Saxophone, Flute",Agree,Strongly Agree,tried to memorize the melody ,2020-09-24 00:26:37,39623
212,SSS0214,19,Yes,,10-16,English,,,,SONA for course credit,,No,Female,,7,4-5,"Yes, I am near professional","piano, guitar, clarinet",Agree,Neither Agree nor Disagree,,2020-09-22 19:41:48,39871
213,SSS0215,18,No,over-the-ear,,English,,,,SONA for course credit,,No,Female,,3,0,No,,Agree,Disagree,Listening closely,2020-09-21 19:47:50,37876
214,SSS0216,18,No,in-ear,,English,I focused on the endings of the melodies,,Unknown,SONA for course credit,,No,Female,,1,0,No,,Strongly Agree,Neither Agree nor Disagree,focus on the ending,2020-10-19 13:41:08,39920
215,SSS0217,20,No,headphones ,,English,,,,SONA for course credit,,No,Female,,0,0,No,,Agree,Strongly Agree,i didnt have one. I Just listened to them.,2020-09-21 20:11:58,36888
216,SSS0218,21,No,in-ear headphones,6-10,Other (please specify below):,minor keys,,,SONA for course credit,Chinese,Yes,Female,,2,4-5,"Yes, but not so well",guitar,Strongly Agree,Agree,the general flow of the melody and the presence of minor keys,2020-10-09 17:21:24,39567
217,SSS0219,20,No,headphones,,English,changes in pitch,,,SONA for course credit,,Yes,Female,,7,0,"Yes, I do alright",piano,Strongly Agree,Agree,Pitch ,2020-09-29 20:37:22,39641
218,SSS0220,19,No,I used Airpods. ,,English,I noticed that some notes would be higher or lower than the test melody and I feel as though it was easier to discern the if there are an extra lower note that wasn't in the test melody.,,Unknown,SONA for course credit,,No,Female,,3,0,No,,Strongly Agree,Agree,I just tried to listen to specific notes that stuck out to me if they sounded higher or lower than the original. ,2020-09-27 22:15:55,39738
219,SSS0221,18,No,headphones in ear by JBL,,English,i noticed when the octave would drop,,Unknown,SONA for course credit,,Yes,Female,,4,0,"Yes, but not so well",piano,Strongly Agree,Agree,none,2020-09-21 22:17:12,39845
220,SSS0222,20,No,in ear,4-12,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,2,6-8,"Yes, but not so well","I used to play a Chinese traditional instrument when I was young, now i can play some but not well anymore",Strongly Disagree,Strongly Disagree,"If anything sounded out of range, and if the notes that were close by sounded different",2020-09-21 21:16:39,40122
221,SSS0223,21,No,In Ear Apple Airpod Pros with the Noise Cancellation on,,English,,,,SONA for course credit,,No,Female,,3,0,No,,Agree,Neither Agree nor Disagree,I tried to listen to high pitch vs low pitch tone patterns ,2020-10-13 14:51:22,39734
222,SSS0224,21,No,In ear,16,English,,,,SONA for course credit,,No,Female,,3,1,"Yes, but not so well",Guitar,Strongly Agree,Neither Agree nor Disagree,If any sounded lower or higher than the template.,2020-09-21 21:20:13,34582
223,SSS0225,21,No,over ear headphones,,English,tone shifts,,Unknown,SONA for course credit,,Yes,Male,,6,0,"Yes, I do alright","guitar, ukulele",Strongly Agree,Agree,listening for changes in pitch,2020-09-21 22:27:59,35608
224,SSS0226,22,No,in-ear,,Other (please specify below):,,,,SONA for course credit,Mandarin,No,Male,,1,0,No,,Neither Agree nor Disagree,Agree,,2020-09-21 22:57:24,36069
225,SSS0227,20,No,over-the-ear,6-7,Other (please specify below):,major and minor are different feelings,,Unknown,SONA for course credit,Chinese,No,Female,,6,1,"Yes, but not so well",piano,Strongly Agree,Neither Agree nor Disagree,feeling,2020-10-21 10:25:57,40148
226,SSS0228,19,No,in-ear ,,English,the notes on certain counts ,,Unknown,SONA for course credit,,Yes,Female,,0,0,No,,Strongly Agree,Agree,counting the beats ,2020-09-30 18:58:58,39634
227,SSS0229,18,No,in ear,9-11,English,,,,SONA for course credit,,No,Female,,3,2-3,"Yes, but not so well",violin,Agree,Agree,I tried to just hear notes that were noticeably out of tune or that didn't follow as similar of a progression.,2020-10-03 01:50:17,39524
228,SSS0230,18,No,in ear,6,Other (please specify below):,whether the tone shifts higher or lower,,Unknown,SONA for course credit,Chinese,Yes,Male,,8,4-5,"Yes, I do alright",drum,Agree,Agree,ear,2020-09-22 02:19:13,39864
229,SSS0231,20,No,AirPods Pro ,,English,I based my discriminations on notes/sounds that sounded out of place. ,,Unknown,SONA for course credit,,Yes,Female,,0,0,"Yes, but not so well","Guitar, piano",Agree,Neither Agree nor Disagree,I tried to see if there were any discordant notes. ,2020-09-22 02:59:14,36071
230,SSS0233,18,No,in-ear,11-15,English,i thought I heard changes in notes and in timing of the notes,,,SONA for course credit,,Yes,Female,,4,4-5,No,,Agree,Strongly Agree,"continuously replay the og melody over and over even when the new options were going, so i could try and see where the differences were",2020-09-30 20:50:56,39827
231,SSS0234,20,,airpods,7-10,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,3,2-3,"Yes, I do alright",Guzheng,Agree,Neither Agree nor Disagree,,2020-09-22 05:21:04,40004
232,SSS0235,20,No,Wireless Earphones Sony WF-1000XM3,13-19,Other (please specify below):,,,,SONA for course credit,Korean,No,Male,,6,6-8,"Yes, I do alright","Clarinet, Guitar",Agree,Strongly Agree,Overall flow of notes,2020-10-13 18:29:22,39844
233,SSS0236,,No,yes airpods,,Other (please specify below):,,,,SONA for course credit,turkish,No,Female,,0,0,No,,Strongly Agree,Agree,nothing,2020-09-22 06:07:27,38764
234,SSS0237,,No,Over-the-ear headphones,13-16,English,"Some notes were much higher/lower to the other notes, which made it more clear. ",,Unknown,SONA for course credit,,Yes,Male,,8,2-3,"Yes, I do alright",Guitar and Viola,Strongly Agree,Strongly Disagree,"Paying close attention to the crescendos and the decrescendos, along with the starts and ends.",2020-09-22 07:19:27,39650
235,SSS0238,20,No,Headphones ,,English,,,,SONA for course credit,,No,Male,,1,0,No,,Strongly Agree,Neither Agree nor Disagree,Just focusing and also identifying notes at a specific time,2020-09-29 23:50:36,40166
236,SSS0239,19,No,in-ear,,Other (please specify below):,differences in pitched and the length of the music ,,,SONA for course credit,Chinese,No,Female,,3,0,No,,Agree,Strongly Agree,listen to the length and flow,2020-10-21 01:08:32,40134
237,SSS0240,22,No,"in-ear, AirPods",7-10,English,See above,,Unknown,SONA for course credit,,No,Female,,3,2-3,"Yes, but not so well",Violin,Strongly Agree,Agree,See if the changes in notes were similar,2020-10-13 15:02:56,40149
238,SSS0241,20,No,"headphones, in-ear, airpods (the first generation)",8-18,Spanish,,,,SONA for course credit,,No,Female,,6,9+,"Yes, I do alright",violin,Strongly Agree,Agree,note changes,2020-09-22 18:57:10,38347
239,SSS0242,18,No,I listened to this task in ear buds,11-15,English,I based it on different pitches and I took note if something seemed half a beat off,,Unknown,SONA for course credit,Chinese,Yes,Female,,6,4-5,"Yes, I do alright",saxophone,Strongly Agree,Strongly Agree,"I listened to the test melody, kept repeating it as the other variations went and tried to notice any differences",2020-10-03 10:56:51,39827
240,SSS0243,21,No,hp speakers ,middle school and college respectively,English,,,,SONA for course credit,,No,Female,,4,1,"Yes, but not so well","guitar, piano",Strongly Agree,Agree,"visualizing the steps, thinking of how high each note was compared to the next",2020-09-22 19:28:26,36567
241,SSS0244,21,No,speaker,,Other (please specify below):,,,,Other,Chinese,No,Female,,5,0,No,,Strongly Agree,Neither Agree nor Disagree,,2020-10-03 12:26:55,39953
242,SSS0245,18,No,in-ear,,Other (please specify below):,sometimes I noticed the specific difference in the change of pitch,,Unknown,SONA for course credit,Chinese,Yes,Female,,1,0,No,,Strongly Agree,Strongly Agree,recite the melody in my mind,2020-10-07 06:28:51,39918
243,SSS0246,18,No,Over-the-ear headphones,10,Other (please specify below):,Some have a particularly note that stands out,,,SONA for course credit,Mandarin,Yes,Female,,7,4-5,"Yes, I do alright",violin,Agree,Agree,,2020-10-06 10:30:07,39533
244,SSS0247,19,No,Airpods (1.0),7-11,English,,,,SONA for course credit,,No,Male,,8,4-5,"Yes, but not so well",Guitar,Strongly Agree,Agree,listen to the patterns of the notes. Tried to differentiate high and low notes that were not apart of the original melody pattern. ,2020-09-22 19:59:42,39692
245,SSS0248,19,No,in-ear,4-14,Other (please specify below):,,,,SONA for course credit,chinese,No,Female,,3,9+,"Yes, I do alright",Piano and flute,Strongly Agree,Strongly Agree,listening with eyes closed...,2020-09-30 07:23:06,39529
246,SSS0249,20,Yes,"headphones, over-the-ear, laptop audio",6-7 years old,English,"Sometimes the melodies would be almost like an arpeggio or like a chord , sometimes patterns exist or change in octave",,Unknown,SONA for course credit,,Yes,Female,"some had patterns, while others would change just note wise or octave wise or even just inverting the notes from the original",8,6-8,"Yes, I do alright",piano,Strongly Agree,Disagree,"patterns, melody",2020-10-03 11:35:36,39778
247,SSS0250,18,No,airpods 2,11-16,Other (please specify below):,I noticed so melodies where two or three notes would be switched around (same notes but in a different order). Also I noticed that some notes were either raised or lowered a semitone or more maybe.,,Unknown,SONA for course credit,Greek,Yes,Female,,9,4-5,"Yes, but not so well",piano,Agree,Disagree,"I tried seeing the melody, its ups and downs in my head",2020-09-30 10:16:03,40189
248,SSS0251,20,No,in-ear headphones: airpod pros,5-18,English,"if one part went particularly flat or sharp, as opposed to just the melody in a different key, it seemed more different to me",,,SONA for course credit,Chinese,Yes,Female,,7,9+,"Yes, I do alright","piano, voice",Strongly Agree,Neither Agree nor Disagree,"the more off-key the options seemed compared to the original, the more different I ranked them",2020-10-06 12:19:51,36930
249,SSS0252,21,No,in-ear headphones,19-21,English,The tones would often change as well as the beats. ,,Unknown,SONA for course credit,,Yes,Female,I don't exactly remember which block.,8,2-3,"Yes, but not so well",guitar,Strongly Agree,Strongly Agree,I just listened with eyes closed and just memorized the melody to the best of my ability.,2020-09-26 01:42:50,39717
250,SSS0253,19,No,,6,Other (please specify below):,,,,SONA for course credit,chinese,No,Male,,5,1,"Yes, but not so well",piano,Neither Agree nor Disagree,Agree,,2020-09-30 09:22:35,39644
251,SSS0254,18,Yes,in ear,10-17,Other (please specify below):,i listen to any particular notes that are especially high/low,,,SONA for course credit,chinese,Yes,Female,"i later just compare option one with the test one. if they are the same, compare option 2 to 1. if not, then option 1 is the answer.",7,9+,"Yes, I do alright",piano and cello,Strongly Agree,Strongly Agree,the tones,2020-09-30 10:40:34,40057
252,SSS0255,19,Yes,in ear headphones,6-11,English,,,,SONA for course credit,,No,Female,"i tried just listening sometimes, i also tried drawing a line up and down based on the notes",4,4-5,"Yes, but not so well",piani,Strongly Agree,Agree,moving my fingers up when the note was high or low when the note was low and going off that pattern ,2020-10-03 12:00:21,39743
253,SSS0256,23,No,headphones ,,Other (please specify below):,higher and lower keys ,,Unknown,SONA for course credit,Portuguese,Yes,Female,,0,0,No,,Strongly Agree,Strongly Agree,no ,2020-10-03 12:16:58,39869
254,SSS0257,18,No,in ear noise cancelling headphones,,English,some of the melodies had extra little tones,,,SONA for course credit,,Yes,Male,,5,0,No,,Strongly Agree,Neither Agree nor Disagree,tones in my head,2020-10-06 13:14:12,39544
255,SSS0258,24,No,apple airpods pro,8-13,English,,,,SONA for course credit,,No,Male,,3,2-3,"Yes, but not so well",drums,Strongly Agree,Agree,"patterns, humming along",2020-09-22 22:39:56,40142
256,SSS0259,19,No,earphones,5-17,English,major/minor key change,,,SONA for course credit,,Yes,Female,,6,6-8,"Yes, I do alright","piano,violin",Strongly Agree,Disagree,key changes,2020-09-30 21:25:18,39754
257,SSS0260,18,No,over the ear headphones,11-18,English,it felt like it got longer and i judged them based off the tone,,Unknown,SONA for course credit,Chinese,Yes,Female,,8,6-8,"Yes, I do alright","violin, piano",Agree,Agree,i tried to compare the first one to the sample and then the second one to the first if the first one isnt very different,2020-09-30 19:38:21,39723
258,SSS0261,18,No,air pod pro,,English,some melodies were slightly changed in a different key or something,,Unknown,SONA for course credit,,Yes,Female,,0,0,No,,Strongly Agree,Agree,,2020-09-30 21:15:13,39518
259,SSS0262,19,No,,,English,,,,SONA for course credit,,No,Female,,2,0,No,,Agree,Disagree,,2020-09-22 23:47:11,39796
260,SSS0263,21,No,AirPods Pro with noise cancellation on,12,Other (please specify below):,Pitch of a single note was changed a lot,,,SONA for course credit,Polish,Yes,Male,,3,1,"Yes, but not so well",Guitar,Strongly Agree,Neither Agree nor Disagree,None,2020-10-06 13:43:00,40103
261,SSS0264,21,No,apple airpods,,Other (please specify below):,,,,SONA for course credit,Russian,No,Male,,5,0,"Yes, I do alright",guitar,Strongly Agree,Strongly Agree,counter the high notes in each melody or low notes depending on which were more frequent in the melody,2020-09-22 23:45:43,39493
262,SSS0265,20,No,"headphones, apple airpods pro in-ear",,Spanish,i tended to focus on whether the melody was going lower or higher and if the options followed the example ,,,SONA for course credit,,Yes,Female,,6,0,"Yes, but not so well","bass, guitar, piano (a bit), drums",Agree,Strongly Agree,i dont think i used a strategy,2020-10-05 20:27:24,39679
263,SSS0266,19,No,Yes. In-ear earphones by Avantree.,18,English,Some had a different key that distinguished themselves from the melodies.,,,SONA for course credit,,Yes,Female,,6,1,"Yes, but not so well",Piano,Agree,Agree,Listen to it and imagine it was an alarm clock.,2020-09-30 14:39:49,40106
264,SSS0267,18,No,"I used in-ear headphones, or Air Pods. ",7-12,English,I noticed if certain notes were changed. ,,,SONA for course credit,,Yes,Female,,3,4-5,"Yes, but not so well",Piano,Strongly Agree,Neither Agree nor Disagree,I listened for any dissonant or off-sounding notes. ,2020-10-13 15:07:06,40170
265,SSS0268,20,Yes,"in ear headphones (apple airpods, first generation)",4-18,English,when there were notes that were 'incorrect',,,SONA for course credit,,Yes,Female,it changed slightly in block 4 because I had to go with this first strategy and then to see if the progression changed as well,6,9+,"Yes, I do alright","flute, piano, guitar, ukulele",Agree,Agree,I tend to look for note differentiation and if the progression is different. If the octave has changed I'll try to note that too but it's difficult when you only have a second to listen to each clip.,2020-10-03 16:13:38,38427
266,SSS0269,19,No,in-ear,,Other (please specify below):,pay attention to the high and low pitch ,,Unknown,SONA for course credit,Chinese,Yes,Female,,3,0,No,,Strongly Agree,Agree,listen to the flow and pitch,2020-09-28 04:53:32,40134
267,SSS0270,20,No,headphones in ear ,11-14,English,,,,SONA for course credit,,No,Female,,5,2-3,No,,Strongly Agree,Strongly Disagree,,2020-10-13 15:17:39,40181
268,SSS0271,19,No,in ear headphones,4-19,English,chromatic notes,,Unknown,SONA for course credit,,No,Female,,10,9+,"Yes, I am a professional","piano, guitar",Strongly Agree,Neither Agree nor Disagree,"chromatic notes, pitch, and the note direction",2020-09-27 02:11:57,40154
269,SSS0272,21,Yes,I used airpods( in-ear) since I do not have a headphone. ,,Other (please specify below):,"I tried to remember highest keys and lowest keys as kind of base, then I tried to find any errors. ",,,SONA for course credit,Japanese,Yes,Male,"At first, I just tried to remeber all the sound from test melodies, but found a little bit difficult, so I switched to the strategy above. ",5,0,"Yes, I do alright","Guitar, Bass, Drum",Strongly Agree,Agree,I tried to find any off sound from the test melody. ,2020-09-23 04:10:22,40060
270,SSS0273,20,,airpod pro,14-18,Other (please specify below):,,,,SONA for course credit,Korean,No,Female,,7,4-5,"Yes, I do alright","Flute, piano",Strongly Agree,Strongly Disagree,general melody,2020-09-23 05:30:43,39599
271,SSS0274,20,No,in-ear,5-16,Other (please specify below):,The range between each pitch were different.,,Unknown,SONA for course credit,Korean,Yes,Female,,8,9+,"Yes, I do alright","Piano, Cello",Strongly Agree,Agree,relative increase or decrease of pitch ,2020-09-30 16:20:05,38482
272,SSS0275,18,No,in-ear headphones,about 13-16,Other (please specify below):,"I was paying attention to the patterns of high notes and low notes, such as when the melody falls or rises.",,,SONA for course credit,Chinese,Yes,Female,,3,2-3,"Yes, but not so well",Guitar and Piano,Strongly Agree,Strongly Agree,patterns of high notes and low notes,2020-09-30 16:41:12,39770
273,SSS0276,27,No,Over ear headphones. Sony,7-15,English,,,,SONA for course credit,,No,Male,,6,4-5,"Yes, I do alright",Drums,Strongly Agree,Neither Agree nor Disagree,Listen for one note differences,2020-09-23 09:09:04,38924
274,SSS0277,18,No,in ear ,since 6 years old,English,one subtle note change ,,,SONA for course credit,,Yes,Female,,6,9+,"Yes, but not so well","vocal, guitar, piano",Strongly Agree,Agree,closed my eyes (tried not to sleep),2020-10-20 16:49:26,40064
275,SSS0278,19,No,In-ear(AirPods),,Other (please specify below):,"Some raised halftone, some swapped two syllables.",,,SONA for course credit,Chinese,Yes,Male,,8,0,"Yes, I am near professional","Drum, Piano",Agree,Agree,Separate the 12 syllables into 3 groups. Check them group by group,2020-09-23 10:54:26,39570
276,SSS0279,22,Yes,over-the-ear beats studio headphones,,Other (please specify below):,if there is any specific high or low pitch I pay attention to its placement within the melody,,Unknown,SONA for course credit,Chinese,Yes,Female,"I started using this strategy around the third block, I found it hard to pick up the differences otherwise",3,0,No,,Strongly Agree,Strongly Agree,"pitch changes, the flow of the melody",2020-09-23 11:38:44,38778
277,SSS0280,21,No,Over the ear,6,English,Some of the tones or keys used were different,,Unknown,SONA for course credit,,Yes,Male,,2,1,"Yes, but not so well",Recorder,Strongly Agree,Neither Agree nor Disagree,I tried to pay attention to anything that deviated from the original ,2020-09-24 03:58:07,40076
278,SSS0281,18,No,"in ear, airpods (Apple)",8,English,,,,SONA for course credit,Mandarin,No,Female,,2,0,No,piano,Strongly Agree,Agree,the high and low notes,2020-10-03 19:03:07,39866
279,SSS0282,20,No,Bluetooth headphone,Pre-elementary School - 2nd grade,Other (please specify below):,Just tried to notice the abnormal tunes or sounds that seem off,,,SONA for course credit,Korean,Yes,Male,,5,2-3,"Yes, but not so well",Used to play the piano,Strongly Agree,Agree,none,2020-10-21 07:55:49,39951
280,SSS0283,20,Yes,In-ear headphones,10-20,English,,,,SONA for course credit,,No,Female,,10,6-8,"Yes, I am near professional",Piano,Strongly Agree,Disagree,,2020-09-24 02:56:58,39901
281,SSS0284,20,No,headphones in ear! Apple Air pods pro!,0,English,,,,SONA for course credit,,No,Female,,3,0,No,,Strongly Agree,Strongly Agree,beats! and if i like it! ,2020-09-30 17:35:10,38213
282,SSS0285,19,No,headphones,0,English,Looking for extremely high or extremely low notes,,,SONA for course credit,,No,Male,,2,0,No,piano,Agree,Strongly Agree,be careful,2020-10-13 15:39:36,40166
283,SSS0286,19,No,in-ear IEM,10-14,Other (please specify below):,,,,SONA for course credit,Chinese,No,Male,,6,2-3,"Yes, I do alright",piano,Agree,Neither Agree nor Disagree,spotting the extreme difference in the melody,2020-10-03 20:12:06,39824
284,SSS0287,17,Yes,in-ear,5-16,English,If there were notes that I did not hear from the original melody or if I felt that the note progression was different from the original melody,,Unknown,SONA for course credit,,Yes,Female,"At first I tried to remember the notes, but later on I tried to remember the progressions/patterns",8,9+,"Yes, I do alright",piano,Neither Agree nor Disagree,Agree,"I tried to differentiate the second test sound from the original melody and chose my answer based on the process of elimination (ie. if the second melody sounded different I chose ""L"", if the second melody sounded the same I chose ""A"")",2020-09-24 09:07:14,40018
285,SSS0288,20,Yes,over the ear,10-20,English,if notes went sharp or flat ,,Unknown,SONA for course credit,,Yes,Female,I thought the melodies were going to change entirely and when it was a small change it was hard for me to recognize ,7,2-3,"Yes, I do alright","flute, a bit of piano and drums ",Strongly Agree,Neither Agree nor Disagree,listened to notes that didn't seem to fit. ,2020-09-24 12:28:25,39697
286,SSS0289,22,No,"over-the-ear, sony, noise cancelling",,Other (please specify below):,,,,SONA for course credit,Chinese,No,Male,,1,0,No,,Strongly Agree,Strongly Agree,Pitch,2020-09-30 18:10:52,38697
287,SSS0290,18,,Airpod Pro's,7-13,Other (please specify below):,,,,SONA for course credit,Russian,No,Male,,3,6-8,No,,Agree,Strongly Agree,No general strategy,2020-09-30 18:47:44,39767
288,SSS0291,20,No,"in-ear earbuds (standard apple, white ones)",8-18,English,some pairing were the same amount different from the original (only one change or so) but the pitch of one was closer to the original melody,,,SONA for course credit,,Yes,Female,,7,9+,"Yes, I do alright",piano and the clarinet,Strongly Agree,Strongly Agree,"pitch, tempo/number of beats",2020-10-06 23:24:09,36263
