StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q16,Q17,Q14,Q18,Q3_NPS_GROUP,Q3,Q4,Q13,Q5,Q6,Q9,Q19,Q15,Q10,Q20,Q11,Q8_1,Q8_2,Q16,sub,sona,Q15 - Parent Topics,Q15 - Topics,Q9 - Parent Topics,Q9 - Topics
2020-09-11 23:53:02,2020-09-11 23:55:34,IP Address,209.6.72.112,100,152,True,2020-09-11 23:55:35,R_2119F5M8IS0psKD,,,,,42.3473968505859375,-71.158203125,anonymous,EN,18,Female,,,,,Passive,7,0,,"Yes, I am near professional",Chinese flute,,,"difference in the way music ""flows"", i imagine them as mountains with ups and downs",,,"just a normal headphone, over the ear",Strongly Agree,Agree,Agree,NOVS1624,40051,,Unknown,,
2020-09-12 00:02:36,2020-09-12 00:06:53,IP Address,216.165.95.183,100,257,True,2020-09-12 00:06:53,R_1giva9LVxrCyQYH,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,21,Female,,,,,Detractor,4,6-8,7-14,No,N/A,more shifts/different sounds,,Yes,,,headphones (in-ear),Strongly Agree,Agree,Agree,NOVS1224,34863,,Unknown,,Unknown
2020-09-12 00:08:04,2020-09-12 00:14:36,IP Address,216.165.95.128,100,391,True,2020-09-12 00:14:36,R_0BrR6O2M89rp3zz,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,18,Female,,,,,Passive,8,9+,5-17,"Yes, I do alright","Piano, Clarinet, Bass Clarinet, Mellophone, Tenor Saxophone",the note similarities and the up/down changes of the notes,,"sometimes the notes would be less accurate but the up/down would be very similar to the test melody, so I would pick that choice",,,headphones (airpods),Strongly Agree,Agree,Agree,NOVS0825,39536,,Unknown,,Unknown
2020-09-12 09:37:37,2020-09-12 09:39:15,IP Address,216.165.95.182,100,97,True,2020-09-12 09:39:15,R_1QnghrAjQnN6uAo,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,18,Female,,,,,Passive,8,9+,5-18,"Yes, I do alright","Piano, viola, voice, organ",I used my ear,,The key,,,In-ear airpods,Strongly Agree,Disagree,Agree,NOVS1225,39979,,Unknown,,Unknown
2020-09-12 09:38:14,2020-09-12 09:40:34,IP Address,83.32.193.80,100,139,True,2020-09-12 09:40:34,R_3NFncCRx9qxaCtY,,,,,40.41650390625,-3.702606201171875,anonymous,EN,20,Female,,,,,Detractor,2,0,,No,,"tones ",,if they went off tone or not,,,"in-ear (airpods, the first ones? they do not have the sound block option)",Strongly Agree,Agree,Agree,NOVS0826,36152,,Unknown,,Unknown
2020-09-12 09:49:07,2020-09-12 09:51:57,IP Address,124.61.73.40,100,170,True,2020-09-12 09:51:58,R_3CN4nVAVjFFwaiE,,,,,37.4951019287109375,127.06280517578125,anonymous,EN,22,Male,,,,,Detractor,2,0,,"Yes, but not so well",Drum,Tone,,Not really,,,headphones,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,NOVS1625,39940,,Unknown,,Unknown
2020-09-12 14:05:41,2020-09-12 14:07:16,IP Address,216.165.95.136,100,94,True,2020-09-12 14:07:16,R_2D6r50PFDU85mgp,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,20,Female,,,,,Detractor,5,2-3,11-13,"Yes, but not so well",guitar,n/a,,n/a,,,in-ear headphones,Agree,Disagree,Agree,NOVS0827,39178,,Unknown,,Unknown
2020-09-12 14:50:43,2020-09-12 14:52:21,IP Address,100.2.58.31,100,98,True,2020-09-12 14:52:21,R_6PhjFoCJioODx4d,,,,,40.8170928955078125,-73.74160003662109375,anonymous,EN,18,Male,,,,,Detractor,5,2-3,15-16,No,none,none,,none,,,headphones,Strongly Agree,Neither Agree nor Disagree,Agree,NOVS1227,39473,,Unknown,,Unknown
2020-09-12 15:59:08,2020-09-12 16:01:02,IP Address,68.175.126.85,100,113,True,2020-09-12 16:01:03,R_2rHNVXA3PuER5WK,,,,,40.730804443359375,-73.99749755859375,anonymous,EN,19,Female,,,,,Detractor,3,6-8,4-12,"Yes, I do alright",Guzheng,,,Yes,,,,Strongly Agree,Agree,Agree,NOVS1627,39859,,Unknown,,
2020-09-12 17:33:23,2020-09-12 17:35:59,IP Address,67.84.227.62,100,155,True,2020-09-12 17:36:00,R_sR6JMBzUw2PYZXz,,,,,40.6876983642578125,-73.92669677734375,anonymous,EN,19,Female,,,,,Passive,7,4-5,5-11,"Yes, but not so well","voice, piano","pitch, tone",,"yes, some melodies sounded off-key",,,in-ear headphones,Strongly Agree,Strongly Disagree,Agree,NOVS0828,39487,,Unknown,,Unknown
2020-09-12 17:47:37,2020-09-12 17:50:39,IP Address,106.201.84.199,100,182,True,2020-09-12 17:50:40,R_2RNYir7PA6gKSjm,,,,,18.5196075439453125,73.8553924560546875,anonymous,EN,20,Female,,,,,Detractor,2,0,N/A,No,N/A,"I tried to judge the overall tune and tried to notice if any high or low notes stood out  ",,"In a lot of my discriminations, I could hear a lower note or a higher note ",,,"Headphones, in-ear",Strongly Agree,Neither Agree nor Disagree,Agree,NOVS0829,36872,,Unknown,,Unknown
2020-09-12 17:52:22,2020-09-12 17:53:50,IP Address,73.177.203.100,100,88,True,2020-09-12 17:53:50,R_1LOrTrJDIcJ45Zk,,,,,39.1876068115234375,-78.185699462890625,anonymous,EN,19,Female,,,,,Promoter,10,9+,3-14,"Yes, I do alright",Piano and violin,repetitive notes,,there were some notes that stood out and sounded starkly different,,,earphones - airpods,Strongly Agree,Neither Agree nor Disagree,Agree,NOVS1229,39714,,Unknown,,Unknown
2020-09-12 17:58:01,2020-09-12 18:00:33,IP Address,160.79.218.151,100,152,True,2020-09-12 18:00:33,R_31NUkZFM2lNr9uC,,,,,40.7483978271484375,-73.86199951171875,anonymous,EN,20,Female,,,,,Detractor,6,4-5,14-18,"Yes, I do alright","Viola, Guitar",Finding a repeating pattern/keeping note of general major/minor sounding sections,,Major/minor differences,,,in ear headphones,Strongly Agree,Disagree,Agree,NOVS1628,36113,,Unknown,,Unknown
2020-09-12 18:03:40,2020-09-12 18:06:19,IP Address,207.237.17.202,100,159,True,2020-09-12 18:06:20,R_2dpaJUOeLwcRpwT,,,,,40.7259979248046875,-73.84799957275390625,anonymous,EN,21,Male,,,,,Passive,7,4-5,7-12,"Yes, but not so well",I used to play piano,I was paying attention to the patterns and seeing if there were any similar sharp notes.,,I was patting attention to specific features.,,,Earphones (in-ear).,Strongly Agree,Agree,Agree,NOVS0831,35408,,Unknown,,Unknown
2020-09-12 18:02:28,2020-09-12 18:06:54,IP Address,67.87.196.55,100,266,True,2020-09-12 18:06:54,R_ZjG5pK5PgsThIo9,,,,,41.16839599609375,-73.84980010986328125,anonymous,EN,19,Female,,,,,Detractor,5,4-5,6-10,No,i used to play piano,i moved my fingers in the direction of the notes. if it was high i moved right if it was low i moved to the left.,,no,,,in-ear headphones,Strongly Agree,Strongly Disagree,Agree,NOVS0830,39743,,Unknown,,Unknown
2020-09-12 18:12:05,2020-09-12 18:15:42,IP Address,216.165.95.128,100,216,True,2020-09-12 18:15:42,R_3nue8pr6EN8yFGr,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,18,Female,,,,,Detractor,4,0,n/a,No,,"i tapped it out and hummed along in my head ",,"when a note was different I noticed and chose the one with the biggest note difference ",,,"in-ear headphones ",Strongly Agree,Disagree,Agree,NOVS1629,39503,,Unknown,,Unknown
2020-09-12 18:33:02,2020-09-12 18:34:20,IP Address,216.165.95.160,100,78,True,2020-09-12 18:34:20,R_21v7Iao6NpJI0TU,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,17,Male,,,,,Passive,8,6-8,6 to 17,"Yes, I am near professional",Piano,Acoustics,,Sharps and flats - tonality,,,"Earphones, in ear",Strongly Agree,Agree,Agree,NOVS1631,39568,,Unknown,,Unknown
2020-09-12 18:30:06,2020-09-12 18:37:45,IP Address,96.35.65.105,100,458,True,2020-09-12 18:37:45,R_0riWv1LdfQehnwZ,,,,,43.6381072998046875,-84.20290374755859375,anonymous,EN,18,Female,,,,,Passive,8,6-8,9-15,"Yes, I am near professional","Alto Saxophone, Guitar, Ukulele",I noticed that the beginnings and endings always stayed constant so I tried to remember a portion of the middle and see if I heard the same portion in the subsequent portions.,,"There were obvious changes in notes sometimes which made the task easy, but others were more subtle changes which made it more difficult to discern. The rhythm and tempo remained the same throughout which also made it difficult because my decision had to be made solely based on remembering the notes.",,,I used over-the-ear headphones. Sony MDR 1000X,Strongly Agree,Agree,Agree,NOVS1228,39500,,Unknown,,Unknown
2020-09-12 18:57:53,2020-09-12 18:59:56,IP Address,74.101.20.175,100,122,True,2020-09-12 18:59:56,R_3s09v928xBhD1hS,,,,,40.6114959716796875,-74.01560211181640625,anonymous,EN,19,Female,,,,,Detractor,3,0,,"Yes, but not so well",Guitar,Intuition,,Higher and/or lower notes,,,In-ear apple earphones,Agree,Agree,Agree,NOVS0824,39735,,Unknown,,Unknown
2020-09-12 19:43:18,2020-09-12 19:46:04,IP Address,216.165.95.181,100,165,True,2020-09-12 19:46:04,R_3RxAvUeIWbi7pnk,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,18,Female,,,,,Detractor,3,2-3,12-15,"Yes, I do alright",clarinet,"I tried to sing them to engrave them in my memory  ",,no,,,"Apple wire earbuds, in ear",Strongly Agree,Strongly Agree,Agree,NOVS1232,122713,,Unknown,,Unknown
2020-09-12 19:45:08,2020-09-12 19:48:21,IP Address,38.89.150.194,100,193,True,2020-09-12 19:48:22,R_2sXyeXPwnN1ONkA,,,,,40.7104949951171875,-74.01290130615234375,anonymous,EN,19,Female,,,,,Detractor,0,1,8,No,i used to play piano,"sometimes i would hear notes in the option tracks that i didn't hear in the original melody. ",,"i did not notice any particular changes (no theme throughout the entire experiment), however sometimes there would be specific notes i would notice that i would use as ""markers""",,,i listened with bose headphones,Strongly Agree,Agree,Agree,NOVS1630,40042,,Unknown,,Unknown
2020-09-12 19:46:10,2020-09-12 19:49:53,IP Address,216.165.95.162,100,223,True,2020-09-12 19:49:53,R_2DRNcTh8q4o1aod,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,19,Female,,,,,Passive,7,9+,7-17,"Yes, I do alright",Violin,The number of single note that is wrong and the range,,no,,,in-ear headphones,Strongly Agree,Strongly Agree,Agree,NOVS0833,37789,,Unknown,,Unknown
2020-09-12 19:52:23,2020-09-12 19:55:59,IP Address,24.7.21.249,100,215,True,2020-09-12 19:55:59,R_ezB5NCrKhvOpH4l,,,,,37.5428009033203125,-122.2971038818359375,anonymous,EN,20,Female,,,,,Passive,8,9+,6-20,"Yes, I do alright","Violin, Guitar, Piano",I compared based on the notes and patterns in the melodies.,,"I noticed changes in notes, specifically is a pattern was major and a note out of the chord was played.",,,"In ear headphones, airpods",Strongly Agree,Agree,Agree,NOVS1632,39721,,Unknown,,Unknown
2020-09-12 20:07:33,2020-09-12 20:08:48,IP Address,24.193.90.183,100,75,True,2020-09-12 20:08:48,R_114JispndXvqJ92,,,,,40.730804443359375,-73.99749755859375,anonymous,EN,19,Female,,,,,Detractor,1,0,na,No,na,none,,no,,,over ear,Strongly Agree,Strongly Agree,Agree,NOVS1231,39822,,Unknown,,Unknown
2020-09-12 20:33:35,2020-09-12 20:40:20,IP Address,24.187.90.192,100,405,True,2020-09-12 20:40:21,R_12D3iSahi6JOusw,,,,,40.63720703125,-73.9037017822265625,anonymous,EN,18,Female,,,,,Passive,7,2-3,13-16,"Yes, I do alright",Piano,I searched for odd notes that did not flow with the melody.,,"Being a soprano for many years, I think i was able to memorize the melodies that involved higher notes.",,,I listened to the task using airpod headphones.,Strongly Agree,Disagree,Agree,NOVS1633,39559,,Unknown,,Unknown
2020-09-12 21:45:03,2020-09-12 21:47:51,IP Address,96.230.38.37,100,168,True,2020-09-12 21:47:51,R_3KvCJSr2tCAvgxB,,,,,42.72869873046875,-71.18340301513671875,anonymous,EN,19,Female,,,,,Detractor,6,4-5,13,"Yes, I do alright","clarinet, piano",,,Sometimes it seemed like the pitch was different.,,,in-ear,Strongly Agree,Agree,Agree,NOVS1234,39543,,Unknown,,
2020-09-12 22:23:31,2020-09-12 22:26:52,IP Address,73.110.106.236,100,201,True,2020-09-12 22:26:53,R_54lRrUxsOFQ1fHP,,,,,41.848602294921875,-87.6287994384765625,anonymous,EN,19,Female,,,,,Detractor,2,0,,"Yes, but not so well",Piano,The pitch of the ending notes,,The ending notes,,,"in-ear headphones, Apple AirPods",Agree,Strongly Agree,Agree,NOVS1634,39464,,Unknown,,Unknown
2020-09-12 22:22:48,2020-09-12 22:27:20,IP Address,208.101.160.56,100,272,True,2020-09-12 22:27:20,R_1l4zx8V8tPB8TnM,,,,,40.170501708984375,-76.41660308837890625,anonymous,EN,20,Female,,,,,Passive,7,9+,8-18,"Yes, I do alright",Violin,"rhythm, major/minor notes, dissonant and consonant notes",,Note changes (from major to minor for peak notes),,,"Headphones, in-ear, airpods (the old one/first generation)",Strongly Agree,Agree,Agree,NOVS0835,38347,,Unknown,,Unknown
2020-09-12 22:49:12,2020-09-12 22:52:03,IP Address,24.189.59.221,100,170,True,2020-09-12 22:52:03,R_3MatCjPUkk4Eln7,,,,,40.8881072998046875,-73.841400146484375,anonymous,EN,18,Female,,,,,Detractor,3,2-3,12-13,"Yes, but not so well",Guitar,Memorizing the first melody to the best of my ability,,The feature of the melodies I noticed most were the differences between tones. For example I noticed extreme drops.,,,"in-ear, AirPods",Strongly Agree,Agree,Agree,NOVS0836,39889,,Unknown,,Unknown
2020-09-13 02:47:27,2020-09-13 02:49:44,IP Address,202.133.204.139,100,136,True,2020-09-13 02:49:44,R_33kvmyfIVgjhbNf,,,,,1.28399658203125,103.83160400390625,anonymous,EN,19,Male,,,,,Detractor,4,2-3,10-13,"Yes, but not so well","Piano, acoustic guitar",N/A,,"Certain counts of ups and downs were different, or pitch",,,Apple earphones,Strongly Agree,Strongly Agree,Agree,DNOVS1201,39507,,Unknown,,Unknown
2020-09-13 03:59:25,2020-09-13 04:03:42,IP Address,209.205.218.43,100,256,True,2020-09-13 04:03:42,R_2fscUanw6keLz25,,,,,40.5511016845703125,-74.460601806640625,anonymous,EN,18,Male,,,,,Passive,7,4-5,9-14,"Yes, I do alright","Double bass, keyboard",I listened for any deviating pitches or atonalities,,yes,,,over-the-ear headphones,Strongly Agree,Agree,Agree,NOVS1237,39539,,Unknown,,Unknown
2020-09-13 04:50:58,2020-09-13 04:55:51,IP Address,173.82.200.75,100,293,True,2020-09-13 04:55:51,R_1pKigCEopE2RAjM,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,19,Female,,,,,Detractor,1,1,"probably when I was in kindergarten or primary school, but I had no idea of what I have learnt...","Yes, but not so well",Guitar and piano (just very little),I have no idea in judging similarities across the melodies,,"no, I only listen to music that makes feel emotionally cheerful or peaceful without any regard/ care to melody. The only thing I care about is my emotion, or whether the music helps me to focus...",,,in-ear headphones,Agree,Agree,Agree,NOVS1637,39929,,Unknown,,Unknown
2020-09-13 06:10:05,2020-09-13 06:14:18,IP Address,121.46.114.36,100,253,True,2020-09-13 06:14:18,R_3R3C9sh0ohFG5RF,,,,,25.1824951171875,75.8390960693359375,anonymous,EN,18,Female,,,,,Promoter,9,0,no.,"Yes, but not so well","Keyword and Piano ",Using a tap of my finger on my laptop. Also the beats.,,"Not really. ",,,"Google Earphones (not ear buds). ",Strongly Agree,Strongly Agree,Agree,DNOVS1602,39945,,Unknown,,Unknown
2020-09-13 06:51:14,2020-09-13 07:00:04,IP Address,54.191.211.156,100,529,True,2020-09-13 07:00:04,R_3qNzvmDdn7tHYTx,,,,,45.8491058349609375,-119.71429443359375,anonymous,EN,20,Female,,,,,Passive,7,6-8,8-15,"Yes, but not so well","piano, guitar","i divide the melodies into 3 bars, then i try to pay attention to the differences in each bar. Specifically, differences in keys and whether the sequence of the notes have been switched.",,"there are two kinds of change in the melody. The first one is to raise or lower certain note of a semitone. The second one is to switch sequences of a series of notes. ",,,in-ear ios headphone on my MacPro.,Strongly Agree,Neither Agree nor Disagree,Disagree,DNOVS1203,37630,,Unknown,,Unknown
2020-09-13 09:12:31,2020-09-13 09:19:32,IP Address,216.165.99.16,100,421,True,2020-09-13 09:19:33,R_2an0fgF5nPZ7PB1,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,20,Female,,,,,Passive,7,2-3,6-8,"Yes, but not so well",piano,major and minor,,major and minor,,,over-the-ear,Strongly Agree,Agree,Agree,NOVS1639,40148,,Unknown,,Unknown
2020-09-13 09:39:49,2020-09-13 09:43:41,IP Address,134.73.239.70,100,232,True,2020-09-13 09:43:42,R_29va26koK2Im5gw,,,,,22.533294677734375,114.13330078125,anonymous,EN,18,Other,,,,,Passive,7,6-8,6-13,"Yes, I do alright",Piano/Guitar,Orders and the flateness and sharpness of notes,,Orders and the flateness and sharpness of notes,,,in-ear headphone,Agree,Disagree,Agree,DNOVS1204,39925,,Unknown,,Unknown
2020-09-13 10:00:09,2020-09-13 10:04:35,IP Address,216.165.99.34,100,266,True,2020-09-13 10:04:36,R_1GHTYoS9JlgyEXN,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,20,Female,,,,,Detractor,4,6-8,5-12/13 (not sure,"Yes, but not so well","Piano. Learnt some violin basics. ","i dont know. I just sort of remember the first one and compare it with the sequential two. ",,Yes,,,"headphone, over-the-ear. Bose 700. ",Strongly Agree,Agree,Agree,DNOVS1604,39012,,Unknown,,Unknown
2020-09-13 11:02:29,2020-09-13 11:06:27,IP Address,216.165.95.190,100,238,True,2020-09-13 11:06:27,R_2TH0rXMAxLFaTdK,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,19,Female,,,,,Detractor,3,9+,5-16,No,"I sang in chorus in middle school and I played piano when I was very young, although I've since lost the ability.",I did not have a strategy,,"Not really ",,,in-ear headphones/Apple air pods,Agree,Strongly Agree,Agree,DNOVS1205,39825,,Unknown,,Unknown
2020-09-13 12:31:45,2020-09-13 12:34:00,IP Address,71.105.181.122,100,134,True,2020-09-13 12:34:00,R_1P6v0IsXDPnKRdM,,,,,40.6739959716796875,-73.97010040283203125,anonymous,EN,19,Female,,,,,Passive,7,0,,No,,I payed attention to standout beats as well as the general pattern of each melody,,"At times melodies would be especially deep which was a key difference ",,,"I used in ear headphones to listen to the melodies ",Strongly Agree,Disagree,Agree,DNOVS1605,39674,,Unknown,,Unknown
2020-09-13 13:37:06,2020-09-13 13:39:57,IP Address,216.165.99.18,100,170,True,2020-09-13 13:39:57,R_2Xb8yASAlTn3QKI,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,22,Female,,,,,Detractor,0,0,NA,"Yes, but not so well",piano,NA,,No,,,headphones in ear,Strongly Agree,Strongly Agree,Agree,NOVS1636,39636,,Unknown,,Unknown
2020-09-13 16:12:06,2020-09-13 16:14:09,IP Address,108.35.251.65,100,123,True,2020-09-13 16:14:10,R_3GlGJEgsyxnv8lc,,,,,40.251007080078125,-74.0503997802734375,anonymous,EN,19,Male,,,,,Detractor,0,0,,No,,just listened for something off key,,no,,,in ear earphones (airpods 1),Strongly Agree,Neither Agree nor Disagree,Agree,DNOVS1206,40119,,Unknown,,Unknown
2020-09-13 20:48:48,2020-09-13 20:50:44,IP Address,108.50.252.109,100,115,True,2020-09-13 20:50:44,R_3GoBwmIzSthQXbM,,,,,40.7180023193359375,-74.07330322265625,anonymous,EN,20,Male,,,,,Detractor,0,0,,No,,,,yes,,,in-ear,Strongly Agree,Strongly Agree,Agree,DNOVS1208,38920,,Unknown,,
2020-09-14 01:41:41,2020-09-14 01:45:16,IP Address,216.165.95.131,100,215,True,2020-09-14 01:45:16,R_1o2b7w4UpPO5Ipx,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,18,Female,,,,,Passive,7,0,,No,,tapping my fingers in different spots and trying to create mental images to describe the melody,,"Yes, sometimes notes were added, removed or replaced by others.",,,"In-ear, airpods pro.",Strongly Agree,Disagree,Agree,DNOVS1209,40041,,Unknown,,Unknown
2020-09-14 11:57:35,2020-09-14 12:00:28,IP Address,209.58.147.44,100,173,True,2020-09-14 12:00:28,R_ZfB6mNPJYlsQmJP,,,,,32.790802001953125,-96.8336029052734375,anonymous,EN,18,Female,,,,,Promoter,9,9+,7-18,"Yes, I do alright","piano, violin, drums, flute, ukulele",Remember the jumps in notes,,If the key was different (major vs. minor) or if the melody didn't hit a certain note then it was more different.,,,In-ear earbuds.,Strongly Agree,Agree,Agree,DNOVS1609,39466,,Unknown,,Unknown
2020-09-14 13:35:46,2020-09-14 13:40:06,IP Address,216.165.95.145,100,259,True,2020-09-14 13:40:06,R_2QFWTxZvqNPxkOG,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,20,Female,,,,,Passive,7,2-3,8-10,"Yes, but not so well",piano,"to listen to the first two melodies most attentively. if the option 1 sounded noticeably different than the melody, option 2 would probably be the most similar to the original melody.",,"yes, pitch",,,over the ear headphones,Strongly Agree,Agree,Agree,DNOVS1615,39641,,Unknown,,Unknown
2020-09-14 13:51:12,2020-09-14 13:53:22,IP Address,72.226.59.67,100,129,True,2020-09-14 13:53:22,R_216Vi8BkxICf117,,,,,40.7465057373046875,-73.90899658203125,anonymous,EN,18,Female,,,,,Detractor,0,0,,No,,Memorizing certain keys that were unlike the rest,,I based my discriminations on the highest and the lowest notes.,,,In ear headphones,Strongly Agree,Neither Agree nor Disagree,Agree,DNOVS1619,39531,,Unknown,,Unknown
2020-09-14 13:55:19,2020-09-14 14:04:52,IP Address,173.76.247.39,100,572,True,2020-09-14 14:04:52,R_1jVfbczj1cTfbYC,,,,,42.43780517578125,-71.22389984130859375,anonymous,EN,20,Male,,,,,Detractor,5,1,12,"Yes, I do alright",Piano,Take note of and compare general topology (eg. lo-hi-lo-hi) of each 4-note group,,There were some obvious wrong notes and differences in topology,,,"Earphones (in-ear), Samsung",Strongly Agree,Agree,Agree,DNOVS1220,39894,,Unknown,,Unknown
2020-09-14 15:52:15,2020-09-14 15:55:02,IP Address,216.165.95.182,100,167,True,2020-09-14 15:55:03,R_3OpH3ZWBd1KaGFq,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,18,Female,,,,,Promoter,9,9+,"9-18 years old ","Yes, I do alright",flute,"Dissonance, switching to minor/major sound ",,"Yes, for some there were changes from major or major-sounding intervals to minor or dissonant intervals (or vice versa)",,,"Earbuds; airpods ",Agree,Agree,Agree,NOVS1640,39690,,Unknown,,Unknown
2020-09-14 17:16:59,2020-09-14 17:18:49,IP Address,96.232.127.19,100,110,True,2020-09-14 17:18:49,R_2y8xjSsXfvCcrB6,,,,,40.6208038330078125,-74.0426025390625,anonymous,EN,21,Male,,,,,Detractor,1,0,NA,No,NA,higher or lower pitch sequences,,no,,,over-the-ear sennheiser,Strongly Agree,Strongly Agree,Agree,NOVS1641,40066,,Unknown,,Unknown
2020-09-14 21:51:52,2020-09-14 21:55:18,IP Address,204.236.70.136,100,205,True,2020-09-14 21:55:19,R_3QQMRdajjCVmTH9,,,,,25.0832977294921875,-77.34999847412109375,anonymous,EN,19,Female,,,,,Detractor,5,1,12,No,,"I listened and tried to determine if any of the notes differed ",,The speed and pitch of the melodies,,,"In-ear ",Strongly Agree,Disagree,Agree,NOVS1242,39906,,Unknown,,Unknown
2020-09-14 22:13:43,2020-09-14 22:16:14,IP Address,216.165.95.129,100,151,True,2020-09-14 22:16:14,R_1JDEbB0qfG0EbV1,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,17,Female,,,,,Detractor,6,1,12,"Yes, but not so well","Learning piano, used to play guitar when younger",Try to catch pitch differences,,I noticed one note off most times,,,"Yes, in-ear Apple AirPods",Strongly Agree,Agree,Agree,NOVS1243,39786,,Unknown,,Unknown
2020-09-15 06:21:56,2020-09-15 06:30:16,IP Address,211.106.137.57,100,499,True,2020-09-15 06:30:16,R_NVBmNaarjlXcFIR,,,,,37.4945068359375,127.010894775390625,anonymous,EN,20,Female,,,,,Passive,8,6-8,"piano (4-7), gayageum(9-11), ukulele(16), recorder(9-15)","Yes, I do alright","gayageum, ukulele, recorder, piano",if there were any significant note that was not on the recording or sounds not familiar.,,"The overall atmosphere was similar, but the detailed notes were different. ",,,over-the-year headphones(Bose QuietComfort 35),Strongly Agree,Agree,Agree,NOVS1643,39525,,Unknown,,Unknown
2020-09-15 09:35:58,2020-09-15 09:41:08,IP Address,111.251.67.151,100,309,True,2020-09-15 09:41:08,R_3GiTawFFnD40NvQ,,,,,25.0478057861328125,121.53179931640625,anonymous,EN,18,Female,,,,,Passive,7,4-5,around 10,"Yes, I do alright",violin,The melody,,"Some of the notes were descended, making them especially clear to hear",,,"headphones, over-the-ear",Strongly Agree,Agree,Agree,NOVS1644,39533,,Unknown,,Unknown
2020-09-15 18:12:28,2020-09-15 18:19:05,IP Address,67.188.145.91,100,396,True,2020-09-15 18:19:05,R_2q9lJtb46Gx6NM1,,,,,37.7595062255859375,-122.43669891357421875,anonymous,EN,21,Female,,,,,Detractor,6,2-3,"very young, about 1 year between 4-6 and one more year when 10","Yes, but not so well",a little bit of Guzheng and Piano,"I tried to break the melody down into pieces and compare structures. I also compare the original to the first, and see if they were close enough. If yes, and the second sounded very different from the first, then I choose the second. If no, then the judgement is a bit more complicated.",,"Well I noticed some changes were playing one note off badly and some changes were shifting the entire tone. I tend to believe when the structure of the melody is similar and there's one tone that's badly off, means that this one is similar enough to the original. I choose the ones that can't let me memorize the original structure.",,,"headphone, in-ear",Strongly Agree,Strongly Disagree,Agree,NOVS1245,35636,,Unknown,,Unknown
2020-09-15 19:04:57,2020-09-15 19:07:03,IP Address,216.165.95.137,100,126,True,2020-09-15 19:07:03,R_1LvYg6Ca3esicsr,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,18,Female,,,,,Passive,7,9+,4-present,"Yes, I am near professional",Piano (near professional) and guitar (beginner),Tried to listen to beginning and end notes to see if they were similar or different.,,Not rhythmically but sometimes note changes.,,,Headphones (Apple Airpod Pro In-Ear Bluetooth Speaker),Strongly Disagree,Neither Agree nor Disagree,Agree,DNOVS1216,39699,,Unknown,,Unknown
2020-09-15 20:03:28,2020-09-15 20:06:32,IP Address,216.165.95.180,100,183,True,2020-09-15 20:06:32,R_cwKGNpIZR6QnvuF,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,18,Female,,,,,Promoter,9,9+,"4+ ","Yes, I do alright","piano, violin, viola, guitar, drums, bass guitar",tonal memory,,"accidentals, chords",,,"over-the-ear headphones, hyperx cloud stinger ",Strongly Agree,Neither Agree nor Disagree,Agree,DNOVS1616,39968,,Unknown,,Unknown
2020-09-15 20:50:52,2020-09-15 20:54:45,IP Address,69.142.165.64,100,233,True,2020-09-15 20:54:45,R_1IMA2fyLdTeEHav,,,,,40.7581939697265625,-74.99140167236328125,anonymous,EN,18,Female,,,,,Detractor,6,4-5,13-17,No,n/a,I sort of just really focused in on the first tune and then listen to  see if anything sounded out of tune in the other melodies.,,I did not really. I mostly focused on each individual structure of the melodies.,,,"earphones, in-ear while looking at the laptop screen. ",Strongly Agree,Agree,Agree,NOVS1247,39932,,Unknown,,Unknown
2020-09-15 21:10:35,2020-09-15 21:12:04,IP Address,73.61.8.197,100,89,True,2020-09-15 21:12:05,R_20Utod1Y5pexSVG,,,,,42.33880615234375,-71.072601318359375,anonymous,EN,20,Female,,,,,Detractor,5,2-3,8-10,"Yes, but not so well",piano,"beginning & end along with G ",,N/A,,,,Agree,Agree,Agree,NOVS1246,40048,,Unknown,,Unknown
