,subject,set,understood task,response,button_bias_Z,rt set,rt shifted,rt swapped,rt neither,rt shifted-swapped,rt shifted:swapped,length,# shifted,# swapped,# neither,# 1st button,# 2nd button,# neither button,# 1st button (task),# 2nd button (task),# neither button (task),# button presses (task),# trials,# button presses,# no_neither_trials,rate shifted,rate swapped,rate neither,rate pressed 1st,rate pressed 2nd,rate pressed neither,rate pressed 1st (task),rate pressed 2nd (task),rate pressed neither (task),rate_NN_shifted,rate_NN_swapped,rate shifted - rate swapped,rate shifted - rate swapped (NN),Unnamed: 0,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
29,S1C0820,diatonic,True,ABABBBBBAABBABBBBBBABBAABAAABBBBABBAABAABBBABBABBAABABBBBABAABBBBABAAABBBB,0.0471164850122203,1845.6500000059605,1393.5,1187.3999999985099,2849.0999999940395,206.10000000149012,1.1735725113708513,8.0,17,16,27.0,15,18,27.0,28,46,44.0,118.0,60.0,60.0,33.0,0.2833333333333333,0.26666666666666666,0.45,0.25,0.3,0.45,0.23728813559322035,0.3898305084745763,0.3728813559322034,0.5151515151515151,0.48484848484848486,0.016666666666666663,0.030303030303030276,16,18.0,No,in-ear,16,Chinese (Mandarin),,SONA for course credit,,No,Female,,1,1,"Yes, but not so well",violin,Agree,Neither Agree nor Disagree,,2021-09-18 18:07:43,41508
30,S1C0822,chromatic,False,BABBAABAABABABBBBBAABABABAABBABABBBBBBAAAABABBABAAABBBAAABAABABABBAABABBABBBBAAAABBABAABBABAABBABABABABAABBBABAABAABBA,2.234007104850973,1017.3000000119209,725.6500000059605,1172.9500000178814,1985.699999988079,-447.30000001192093,0.6186538215566717,8.0,28,30,1.0,27,31,1.0,57,61,1.0,119.0,59.0,59.0,58.0,0.4745762711864407,0.5084745762711864,0.01694915254237288,0.4576271186440678,0.5254237288135594,0.01694915254237288,0.4789915966386555,0.5126050420168067,0.008403361344537815,0.4827586206896552,0.5172413793103449,-0.03389830508474573,-0.03448275862068967,17,21.0,No,headphones,,English,,SONA for course credit,,No,Female,,2,0,No,,Strongly Disagree,Strongly Disagree,,2021-09-16 19:11:28,41449
31,S1C0822,diatonic,False,BABBAABAABABABBBBBAABABABAABBABABBBBBBAAAABABBABAAABBBAAABAABABABBAABABBABBBBAAAABBABAABBABAABBABABABABAABBBABAABAABBA,2.234007104850973,827.5500000119209,755.1999999880791,884.3500000238419,0.0,-129.1500000357628,0.8539605359503806,8.0,36,24,0.0,30,30,0.0,57,61,1.0,119.0,60.0,60.0,60.0,0.6,0.4,0.0,0.5,0.5,0.0,0.4789915966386555,0.5126050420168067,0.008403361344537815,0.6,0.4,0.19999999999999996,0.19999999999999996,17,21.0,No,headphones,,English,,SONA for course credit,,No,Female,,2,0,No,,Strongly Disagree,Strongly Disagree,,2021-09-16 19:11:28,41449
32,S1C0823,chromatic,True,ABBBBBBBABBABBBABBBABBBBBABAABABAABAABBABABABBBAAABABABBABBAAABBBBBABBABAABABBAABAABAAAABAABBABBAAAAAABBAABABABABABBA,1.4657971121997682,1076.8999999910593,972.4499999955297,1092.7000000029802,2746.2999999970198,-120.25000000745058,0.8899514962870664,8.0,22,36,1.0,30,28,1.0,54,63,2.0,119.0,59.0,59.0,58.0,0.3728813559322034,0.6101694915254238,0.01694915254237288,0.5084745762711864,0.4745762711864407,0.01694915254237288,0.453781512605042,0.5294117647058824,0.01680672268907563,0.3793103448275862,0.6206896551724138,-0.23728813559322037,-0.24137931034482762,18,19.0,No,over-the-ear headphones,9-12,English,I listened for the lowest and highest notes,SONA for course credit,,Yes,Female,,2,3,"Yes, but not so well",guitar,Strongly Agree,Agree,listening for the most distinct notes and their placement in the sequence,2021-09-16 21:14:46,39889
33,S1C0823,diatonic,True,ABBBBBBBABBABBBABBBABBBBBABAABABAABAABBABABABBBAAABABABBABBAAABBBBBABBABAABABBAABAABAAAABAABBABBAAAAAABBAABABABABABBA,1.4657971121997682,739.3999999985099,862.7999999970198,633.2000000029802,866.1000000089407,229.59999999403954,1.3626026531790254,8.0,38,21,1.0,24,35,1.0,54,63,2.0,119.0,60.0,60.0,59.0,0.6333333333333333,0.35,0.016666666666666666,0.4,0.5833333333333334,0.016666666666666666,0.453781512605042,0.5294117647058824,0.01680672268907563,0.6440677966101694,0.3559322033898305,0.2833333333333333,0.28813559322033894,18,19.0,No,over-the-ear headphones,9-12,English,I listened for the lowest and highest notes,SONA for course credit,,Yes,Female,,2,3,"Yes, but not so well",guitar,Strongly Agree,Agree,listening for the most distinct notes and their placement in the sequence,2021-09-16 21:14:46,39889
34,S1C0824,chromatic,True,BABBABAABBBABBAABBBAABBBBABBABBABBABAABBBBAABBAABBBABBBBABBAABBABBBBBBBBABBAAAAABABABBBBABBBAABBABB,0.4766345847537364,1580.2000000476837,1580.2000000476837,1447.0,3099.5,133.20000004768372,1.092052522493216,8.0,19,27,13.0,17,29,13.0,36,63,20.0,119.0,59.0,59.0,46.0,0.3220338983050847,0.4576271186440678,0.22033898305084745,0.288135593220339,0.4915254237288136,0.22033898305084745,0.3025210084033613,0.5294117647058824,0.16806722689075632,0.41304347826086957,0.5869565217391305,-0.13559322033898308,-0.17391304347826092,19,18.0,Yes,"in ear, air pods",,English,"sometimes added or removed note, sometimes L went deeper sometimes A switch ed two notes",SONA for course credit,,Yes,Female,The strategy sort of evolved block by block,5,0,"Yes, but not so well",ukulele,Strongly Agree,Neither Agree nor Disagree,counted for missing or added beats,2021-09-16 21:45:36,41654
35,S1C0824,diatonic,True,BABBABAABBBABBAABBBAABBBBABBABBABBABAABBBBAABBAABBBABBBBABBAABBABBBBBBBBABBAAAAABABABBBBABBBAABBABB,0.4766345847537364,1600.4000000357628,1721.7999999821186,1333.300000011921,2725.899999976158,388.4999999701977,1.2913822845321563,8.0,26,27,7.0,19,34,7.0,36,63,20.0,119.0,60.0,60.0,53.0,0.43333333333333335,0.45,0.11666666666666667,0.31666666666666665,0.5666666666666667,0.11666666666666667,0.3025210084033613,0.5294117647058824,0.16806722689075632,0.49056603773584906,0.5094339622641509,-0.016666666666666663,-0.018867924528301883,19,18.0,Yes,"in ear, air pods",,English,"sometimes added or removed note, sometimes L went deeper sometimes A switch ed two notes",SONA for course credit,,Yes,Female,The strategy sort of evolved block by block,5,0,"Yes, but not so well",ukulele,Strongly Agree,Neither Agree nor Disagree,counted for missing or added beats,2021-09-16 21:45:36,41654
36,S1C0825,chromatic,True,BABBAAAAABABBBABABBBBABBAABBBABBBBABBBABABABAABBBBAABBAABABBBABAAAABAAABAAAAABBBAAAAAABABAAAABAABABABABBBBABBBABABAABAB,0.829379597463197,649.1000000014901,669.8000000044703,643.0,0.0,26.80000000447035,1.0416796267565636,8.0,33,26,0.0,28,31,0.0,59,60,0.0,119.0,59.0,59.0,59.0,0.559322033898305,0.4406779661016949,0.0,0.4745762711864407,0.5254237288135594,0.0,0.4957983193277311,0.5042016806722689,0.0,0.559322033898305,0.4406779661016949,0.11864406779661013,0.11864406779661013,20,18.0,No,I listened to the task with Apple Airpods (2nd Gen),8-15,English,"As mentioned above, I paid most attention to the specific notes of each melody",SONA for course credit,,Yes,Female,,8,8,"Yes, I do alright","Piano, ukulele",Agree,Disagree,I tried to identify the number of different notes in each melody compared to the test melody or the size of the interval between a different note and its respective note in the test melody,2021-09-17 12:41:56,41488
37,S1C0825,diatonic,True,BABBAAAAABABBBABABBBBABBAABBBABBBBABBBABABABAABBBBAABBAABABBBABAAAABAAABAAAAABBBAAAAAABABAAAABAABABABABBBBABBBABABAABAB,0.829379597463197,697.6000000014901,718.6999999955297,664.5,0.0,54.19999999552965,1.081565086524499,8.0,41,19,0.0,31,29,0.0,59,60,0.0,119.0,60.0,60.0,60.0,0.6833333333333333,0.31666666666666665,0.0,0.5166666666666667,0.48333333333333334,0.0,0.4957983193277311,0.5042016806722689,0.0,0.6833333333333333,0.31666666666666665,0.3666666666666667,0.3666666666666667,20,18.0,No,I listened to the task with Apple Airpods (2nd Gen),8-15,English,"As mentioned above, I paid most attention to the specific notes of each melody",SONA for course credit,,Yes,Female,,8,8,"Yes, I do alright","Piano, ukulele",Agree,Disagree,I tried to identify the number of different notes in each melody compared to the test melody or the size of the interval between a different note and its respective note in the test melody,2021-09-17 12:41:56,41488
38,S1C0826,chromatic,True,ABABBBABBABBBBBBBABBBBBABBBBBBBBABABBABBBBBABAAABBBBBBBABBBBBABABBBBBBABBABBABBB,1.2565583499361193,890.5999999940395,795.9000000059605,424.09999999403954,1218.5499999821186,371.80000001192093,1.8766800283356433,8.0,20,23,16.0,11,32,16.0,19,61,39.0,119.0,59.0,59.0,43.0,0.3389830508474576,0.3898305084745763,0.2711864406779661,0.1864406779661017,0.5423728813559322,0.2711864406779661,0.15966386554621848,0.5126050420168067,0.3277310924369748,0.46511627906976744,0.5348837209302325,-0.050847457627118675,-0.06976744186046507,21,21.0,No,"in-ear, airpod","7-10, 15-17",Chinese (Mandarin),Listen to the notes that is off-key,SONA for course credit,,Yes,Female,,5,5,"Yes, I do alright",drum,Strongly Agree,Agree,,2021-09-17 13:24:28,38027
39,S1C0826,diatonic,True,ABABBBABBABBBBBBBABBBBBABBBBBBBBABABBABBBBBABAAABBBBBBBABBBBBABABBBBBBABBABBABBB,1.2565583499361193,841.4500000029802,456.09999999403954,579.3999999910593,1417.7000000178814,-123.29999999701977,0.7871936486038619,8.0,19,18,23.0,8,29,23.0,19,61,39.0,119.0,60.0,60.0,37.0,0.31666666666666665,0.3,0.38333333333333336,0.13333333333333333,0.48333333333333334,0.38333333333333336,0.15966386554621848,0.5126050420168067,0.3277310924369748,0.5135135135135135,0.4864864864864865,0.016666666666666663,0.027027027027026973,21,21.0,No,"in-ear, airpod","7-10, 15-17",Chinese (Mandarin),Listen to the notes that is off-key,SONA for course credit,,Yes,Female,,5,5,"Yes, I do alright",drum,Strongly Agree,Agree,,2021-09-17 13:24:28,38027
40,S1C0827,chromatic,True,BBBBABABABBABBBBBAABBAABAAABAABABABAAAABBBBBAABBAABBBABAABABAABAABBABAABABBAABAAB,1.2440852167843113,1021.3500000238419,786.9499999880791,930.9000000357628,2096.199999988079,-143.95000004768372,0.845364700781874,8.0,22,20,16.0,25,17,16.0,39,42,37.0,118.0,58.0,58.0,42.0,0.3793103448275862,0.3448275862068966,0.27586206896551724,0.43103448275862066,0.29310344827586204,0.27586206896551724,0.3305084745762712,0.3559322033898305,0.3135593220338983,0.5238095238095238,0.47619047619047616,0.03448275862068961,0.04761904761904767,22,18.0,No,headphones. in ear. Apple airpods,,English,,SONA for course credit,,No,Male,,0,0,No,,Agree,Disagree,I used the different pitches to determine whether or not they sounded the same.,2021-09-17 16:02:56,41706
41,S1C0827,diatonic,True,BBBBABABABBABBBBBAABBAABAAABAABABABAAAABBBBBAABBAABBBABAABABAABAABBABAABABBAABAAB,1.2440852167843113,911.9500000476837,798.0500000119209,884.7000000476837,1882.1000000238419,-86.65000003576279,0.9020571944940743,8.0,24,15,21.0,14,25,21.0,39,42,37.0,118.0,60.0,60.0,39.0,0.4,0.25,0.35,0.23333333333333334,0.4166666666666667,0.35,0.3305084745762712,0.3559322033898305,0.3135593220338983,0.6153846153846154,0.38461538461538464,0.15000000000000002,0.23076923076923078,22,18.0,No,headphones. in ear. Apple airpods,,English,,SONA for course credit,,No,Male,,0,0,No,,Agree,Disagree,I used the different pitches to determine whether or not they sounded the same.,2021-09-17 16:02:56,41706
42,S1C0828,chromatic,True,BBBBAABBABABAAABABBBAABAABABABAAAABABABBBBBBABBBAABBBAAABABAAAAABAAAABAABBAAABAAAABBAABAAABAAAABABABBABAAAABBBABAABB,0.49411378817251894,970.6000001430511,968.0000002384186,915.6999998092651,5439.300000190735,52.30000042915344,1.0571147760620807,8.0,32,25,3.0,35,22,3.0,64,52,4.0,120.0,60.0,60.0,57.0,0.5333333333333333,0.4166666666666667,0.05,0.5833333333333334,0.36666666666666664,0.05,0.5333333333333333,0.43333333333333335,0.03333333333333333,0.5614035087719298,0.43859649122807015,0.11666666666666664,0.12280701754385964,23,18.0,No,"in-ear earbuds, Happy Plugs Earbuds Plus with Mic",5-17 years old,Other (please specify below):,"I mostly chose the melodies that had a different pitch, length, or a noticeable different note.",SONA for course credit,Chinese (Hakka),Yes,Female,,8,9+,"Yes, I do alright",piano and alto saxophone,Strongly Agree,Agree,"I tried to remember the general length and rhythm of each melody, whether the pitch was higher or lower, and if there were any noticeable out of place notes.",2021-09-17 14:25:28,41658
43,S1C0828,diatonic,True,BBBBAABBABABAAABABBBAABAABABABAAAABABABBBBBBABBBAABBBAAABABAAAAABAAAABAABBAAABAAAABBAABAAABAAAABABABBABAAAABBBABAABB,0.49411378817251894,795.5999999046326,622.5,1400.6000003814697,1656.2000002861023,-778.1000003814697,0.44445237743142574,8.0,44,15,1.0,29,30,1.0,64,52,4.0,120.0,60.0,60.0,59.0,0.7333333333333333,0.25,0.016666666666666666,0.48333333333333334,0.5,0.016666666666666666,0.5333333333333333,0.43333333333333335,0.03333333333333333,0.7457627118644068,0.2542372881355932,0.4833333333333333,0.4915254237288136,23,18.0,No,"in-ear earbuds, Happy Plugs Earbuds Plus with Mic",5-17 years old,Other (please specify below):,"I mostly chose the melodies that had a different pitch, length, or a noticeable different note.",SONA for course credit,Chinese (Hakka),Yes,Female,,8,9+,"Yes, I do alright",piano and alto saxophone,Strongly Agree,Agree,"I tried to remember the general length and rhythm of each melody, whether the pitch was higher or lower, and if there were any noticeable out of place notes.",2021-09-17 14:25:28,41658
44,S1C0829,chromatic,True,AAABABABABAAABBAABBAABBABABAAABABABAAAAABBBAAAABABAABABAAABABBABAABAABBABABABABAABBAAABABABAABABBBABABBAABABABBBBABAB,3.5632874868543505,960.5,850.0500000044703,1321.0,0.0,-470.94999999552965,0.6434897804727254,8.0,28,29,0.0,28,29,0.0,64,53,0.0,117.0,57.0,57.0,57.0,0.49122807017543857,0.5087719298245614,0.0,0.49122807017543857,0.5087719298245614,0.0,0.5470085470085471,0.452991452991453,0.0,0.49122807017543857,0.5087719298245614,-0.01754385964912286,-0.01754385964912286,24,20.0,No,in ear ,,English,,SONA for course credit,,No,Female,,3,0,No,,Agree,Strongly Agree,I tried to listen to the first one really closely,2021-09-17 15:18:02,38164
45,S1C0829,diatonic,True,AAABABABABAAABBAABBAABBABABAAABABABAAAAABBBAAAABABAABABAAABABBABAABAABBABABABABAABBAAABABABAABABBBABABBAABABABBBBABAB,3.5632874868543505,1079.7999999970198,626.9500000029802,1115.3999999985099,0.0,-488.44999999552965,0.5620853505503118,8.0,28,32,0.0,36,24,0.0,64,53,0.0,117.0,60.0,60.0,60.0,0.4666666666666667,0.5333333333333333,0.0,0.6,0.4,0.0,0.5470085470085471,0.452991452991453,0.0,0.4666666666666667,0.5333333333333333,-0.06666666666666665,-0.06666666666666665,24,20.0,No,in ear ,,English,,SONA for course credit,,No,Female,,3,0,No,,Agree,Strongly Agree,I tried to listen to the first one really closely,2021-09-17 15:18:02,38164
46,S1C0830,chromatic,True,ABBBBABAABAAABBBBABBAABBBABABAABABBBBBABABBBAAABBBABABBBABBABBBBBBBABABAAABBAAABAABB,0.5752123311063566,889.1000000089407,621.3999999985099,879.25,1487.8999999910593,-257.8500000014901,0.7067386977520727,8.0,16,20,23.0,13,23,23.0,34,50,35.0,119.0,59.0,59.0,36.0,0.2711864406779661,0.3389830508474576,0.3898305084745763,0.22033898305084745,0.3898305084745763,0.3898305084745763,0.2857142857142857,0.42016806722689076,0.29411764705882354,0.4444444444444444,0.5555555555555556,-0.06779661016949151,-0.11111111111111116,25,19.0,No,in-ear,4-10,Chinese (Mandarin),,SONA for course credit,,No,Female,,0,3,"Yes, I do alright",Guzheng,Agree,Strongly Agree,out of tune,2021-09-17 17:35:25,41450
47,S1C0830,diatonic,True,ABBBBABAABAAABBBBABBAABBBABABAABABBBBBABABBBAAABBBABABBBABBABBBBBBBABABAAABBAAABAABB,0.5752123311063566,759.9000000059605,615.5999999940395,701.0499999895692,2058.2999999970198,-85.44999999552965,0.8781114043266514,8.0,40,8,12.0,21,27,12.0,34,50,35.0,119.0,60.0,60.0,48.0,0.6666666666666666,0.13333333333333333,0.2,0.35,0.45,0.2,0.2857142857142857,0.42016806722689076,0.29411764705882354,0.8333333333333334,0.16666666666666666,0.5333333333333333,0.6666666666666667,25,19.0,No,in-ear,4-10,Chinese (Mandarin),,SONA for course credit,,No,Female,,0,3,"Yes, I do alright",Guzheng,Agree,Strongly Agree,out of tune,2021-09-17 17:35:25,41450
48,S1C0831,chromatic,True,BABABBABAAABBBBABBBAABBBBBBABBBAABBBBBBABABBBBAABBBBBABBABABBABBABBABBABAABBBAABBABABAAABBABBAABBBAABA,1.1317968861820709,1591.5999999977648,1564.5999999977648,1430.8499999996275,2372.449999999255,133.74999999813735,1.0934759059287642,8.0,23,24,12.0,11,36,12.0,38,64,17.0,119.0,59.0,59.0,47.0,0.3898305084745763,0.4067796610169492,0.2033898305084746,0.1864406779661017,0.6101694915254238,0.2033898305084746,0.31932773109243695,0.5378151260504201,0.14285714285714285,0.48936170212765956,0.5106382978723404,-0.01694915254237289,-0.021276595744680826,26,20.0,No,"headphones, over the ear, sony",,English,,SONA for course credit,,No,Female,,5,0,"Yes, I do alright",Piano when I was young,Agree,Neither Agree nor Disagree,the whole tone of the sog,2021-09-17 17:45:56,41504
49,S1C0831,diatonic,True,BABABBABAAABBBBABBBAABBBBBBABBBAABBBBBBABABBBBAABBBBBABBABABBABBABBABBABAABBBAABBABABAAABBABBAABBBAABA,1.1317968861820709,1661.75,1554.7000000011176,1911.300000000745,2189.699999999255,-356.59999999962747,0.813425417255539,8.0,42,13,5.0,27,28,5.0,38,64,17.0,119.0,60.0,60.0,55.0,0.7,0.21666666666666667,0.08333333333333333,0.45,0.4666666666666667,0.08333333333333333,0.31932773109243695,0.5378151260504201,0.14285714285714285,0.7636363636363637,0.23636363636363636,0.4833333333333333,0.5272727272727273,26,20.0,No,"headphones, over the ear, sony",,English,,SONA for course credit,,No,Female,,5,0,"Yes, I do alright",Piano when I was young,Agree,Neither Agree nor Disagree,the whole tone of the sog,2021-09-17 17:45:56,41504
50,S1C0835,chromatic,True,BBBBBBBBABBBBABBABBBBBBBABBBAABBAABABABBABAAAABBBABBABABBABBBBBBBBBABBBBBBBBAAABBBBBAAABBBBBAABBBBBABBAAAABBABABBBAB,-0.7974620641506096,930.3999999910593,594.6999999880791,930.3999999910593,2280.800000011921,-335.70000000298023,0.6391874462530028,8.0,21,36,3.0,20,37,3.0,36,80,4.0,120.0,60.0,60.0,57.0,0.35,0.6,0.05,0.3333333333333333,0.6166666666666667,0.05,0.3,0.6666666666666666,0.03333333333333333,0.3684210526315789,0.631578947368421,-0.25,-0.2631578947368421,27,19.0,,in ear,8,English,,SONA for course credit,,No,Male,,1,1,"Yes, but not so well",drums,Strongly Agree,Strongly Agree,tone changes,2021-09-18 12:58:26,41825
51,S1C0835,diatonic,True,BBBBBBBBABBBBABBABBBBBBBABBBAABBAABABABBABAAAABBBABBABABBABBBBBBBBBABBBBBBBBAAABBBBBAAABBBBBAABBBBBABBAAAABBABABBBAB,-0.7974620641506096,546.5,519.7999999821186,560.2500000149012,3527.899999976158,-40.450000032782555,0.9278000891892786,8.0,35,24,1.0,16,43,1.0,36,80,4.0,120.0,60.0,60.0,59.0,0.5833333333333334,0.4,0.016666666666666666,0.26666666666666666,0.7166666666666667,0.016666666666666666,0.3,0.6666666666666666,0.03333333333333333,0.5932203389830508,0.4067796610169492,0.18333333333333335,0.18644067796610164,27,19.0,,in ear,8,English,,SONA for course credit,,No,Male,,1,1,"Yes, but not so well",drums,Strongly Agree,Strongly Agree,tone changes,2021-09-18 12:58:26,41825
52,S1C0836,chromatic,True,BBABAABABAAABBABBAABBABBABABBABBABABAABABBBBABABABBBBAABABABABBAAABABBBBBABABAAABBABBABAABBABBABBABABABAABAB,3.6548545502440297,1821.6999999284744,1769.1000000238419,2103.800000011921,1600.5,-334.69999998807907,0.8409069303231379,8.0,25,28,4.0,23,30,4.0,48,60,9.0,117.0,57.0,57.0,53.0,0.43859649122807015,0.49122807017543857,0.07017543859649122,0.40350877192982454,0.5263157894736842,0.07017543859649122,0.41025641025641024,0.5128205128205128,0.07692307692307693,0.4716981132075472,0.5283018867924528,-0.05263157894736842,-0.05660377358490565,28,18.0,No,"headphones, in-ear",7-9,English,Mostly the difference between one note and the next and whether the jump sounded the same in the options,SONA for course credit,,Yes,Female,,6,2,No,,Strongly Agree,Agree,Timing and notes,2021-09-18 13:56:42,41650
53,S1C0836,diatonic,True,BBABAABABAAABBABBAABBABBABABBABBABABAABABBBBABABABBBBAABABABABBAAABABBBBBABABAAABBABBABAABBABBABBABABABAABAB,3.6548545502440297,1864.3999999761581,1715.3999999761581,1882.9000000953674,1870.2999999523163,-167.5000001192093,0.9110414785114846,8.0,30,25,5.0,25,30,5.0,48,60,9.0,117.0,60.0,60.0,55.0,0.5,0.4166666666666667,0.08333333333333333,0.4166666666666667,0.5,0.08333333333333333,0.41025641025641024,0.5128205128205128,0.07692307692307693,0.5454545454545454,0.45454545454545453,0.08333333333333331,0.09090909090909088,28,18.0,No,"headphones, in-ear",7-9,English,Mostly the difference between one note and the next and whether the jump sounded the same in the options,SONA for course credit,,Yes,Female,,6,2,No,,Strongly Agree,Agree,Timing and notes,2021-09-18 13:56:42,41650
54,S1C0837,chromatic,True,BBABABBAAAABABBBAAABAAAABABABBABAABBAABBBABBBAABABBABABABBBBABAABBAABABAABBBABBBABABABABABBBABAABAAABAAABBAAAAABAAABAAB,1.9414831529678878,1426.0,1134.6000000014901,1726.300000000745,0.0,-591.6999999992549,0.6572438162549965,8.0,27,32,0.0,26,33,0.0,61,58,0.0,119.0,59.0,59.0,59.0,0.4576271186440678,0.5423728813559322,0.0,0.4406779661016949,0.559322033898305,0.0,0.5126050420168067,0.48739495798319327,0.0,0.4576271186440678,0.5423728813559322,-0.0847457627118644,-0.0847457627118644,29,19.0,No,headphones in the ear ,10-19,English,I said the ones with notes in a different key were more different. ,SONA for course credit,,Yes,Female,,10,9+,"Yes, I do alright","Piano, guitar",Strongly Agree,,if the note was flat or in a different key,2021-09-18 16:38:47,41762
55,S1C0837,diatonic,True,BBABABBAAAABABBBAAABAAAABABABBABAABBAABBBABBBAABABBABABABBBBABAABBAABABAABBBABBBABABABABABBBABAABAAABAAABBAAAAABAAABAAB,1.9414831529678878,1320.2999999988824,1254.800000000745,1458.4000000022352,0.0,-203.60000000149012,0.8603949533727523,8.0,47,13,0.0,35,25,0.0,61,58,0.0,119.0,60.0,60.0,60.0,0.7833333333333333,0.21666666666666667,0.0,0.5833333333333334,0.4166666666666667,0.0,0.5126050420168067,0.48739495798319327,0.0,0.7833333333333333,0.21666666666666667,0.5666666666666667,0.5666666666666667,29,19.0,No,headphones in the ear ,10-19,English,I said the ones with notes in a different key were more different. ,SONA for course credit,,Yes,Female,,10,9+,"Yes, I do alright","Piano, guitar",Strongly Agree,,if the note was flat or in a different key,2021-09-18 16:38:47,41762
56,S1C0838,chromatic,False,ABBABBAABBBBABAAAAABBBBBAABBAABABABBAABBBABBABAAAABAABAAAAABABBABBAAABBAABBAAABAAABABBABAABABBAAABBABAABABBAAABBAA,0.6203513463208772,1002.5,2992.2000000178814,909.1500000059605,2403.599999964237,2083.050000011921,3.2912060716034364,8.0,6,50,3.0,29,27,3.0,61,53,5.0,119.0,59.0,59.0,56.0,0.1016949152542373,0.847457627118644,0.05084745762711865,0.4915254237288136,0.4576271186440678,0.05084745762711865,0.5126050420168067,0.44537815126050423,0.04201680672268908,0.10714285714285714,0.8928571428571429,-0.7457627118644068,-0.7857142857142858,30,19.0,No,in-ear,,Chinese (Mandarin),,SONA for course credit,,No,Female,,3,0,"Yes, but not so well",clarinet,Neither Agree nor Disagree,Neither Agree nor Disagree,No,2021-09-18 15:18:32,41724
57,S1C0838,diatonic,False,ABBABBAABBBBABAAAAABBBBBAABBAABABABBAABBBABBABAAAABAABAAAAABABBABBAAABBAABBAAABAAABABBABAABABBAAABBABAABABBAAABBAA,0.6203513463208772,951.6999999880791,1506.2000000178814,843.9999999701977,2466.949999988079,662.2000000476837,1.7845971564823062,8.0,10,48,2.0,32,26,2.0,61,53,5.0,119.0,60.0,60.0,58.0,0.16666666666666666,0.8,0.03333333333333333,0.5333333333333333,0.43333333333333335,0.03333333333333333,0.5126050420168067,0.44537815126050423,0.04201680672268908,0.1724137931034483,0.8275862068965517,-0.6333333333333334,-0.6551724137931034,30,19.0,No,in-ear,,Chinese (Mandarin),,SONA for course credit,,No,Female,,3,0,"Yes, but not so well",clarinet,Neither Agree nor Disagree,Neither Agree nor Disagree,No,2021-09-18 15:18:32,41724
58,S1C0839,chromatic,True,ABBBAABAAAABBBABBBBBBAABAAAABAAAABAAABBBBAAAAABAABBABBABAAAABBAAAABBBBBABAAABAAAABBAAAAAAAABAABBAABAAB,-1.7284513642269335,2182.10000000149,2661.14999999851,1798.5,4429.95000000298,862.6499999985099,1.4796497080892466,8.0,24,26,10.0,32,18,10.0,60,42,18.0,120.0,60.0,60.0,50.0,0.4,0.43333333333333335,0.16666666666666666,0.5333333333333333,0.3,0.16666666666666666,0.5,0.35,0.15,0.48,0.52,-0.033333333333333326,-0.040000000000000036,31,18.0,No,Earphones (in ear),,Spanish,,SONA for course credit,,No,Female,,1,0,No,,Strongly Agree,Agree,Keeping my eyes closed and keeping track of the beats and the time between them,2021-09-18 15:21:47,41867
59,S1C0839,diatonic,True,ABBBAABAAAABBBABBBBBBAABAAAABAAAABAAABBBBAAAAABAABBABBABAAAABBAAAABBBBBABAAABAAAABBAAAAAAAABAABBAABAAB,-1.7284513642269335,2833.0,2221.7000000029802,2102.8999999910593,5607.30000000447,118.80000001192093,1.0564934138629636,8.0,21,31,8.0,28,24,8.0,60,42,18.0,120.0,60.0,60.0,52.0,0.35,0.5166666666666667,0.13333333333333333,0.4666666666666667,0.4,0.13333333333333333,0.5,0.35,0.15,0.40384615384615385,0.5961538461538461,-0.16666666666666674,-0.1923076923076923,31,18.0,No,Earphones (in ear),,Spanish,,SONA for course credit,,No,Female,,1,0,No,,Strongly Agree,Agree,Keeping my eyes closed and keeping track of the beats and the time between them,2021-09-18 15:21:47,41867
60,S1C1201,chromatic,True,BABBABABABBBAAAABAAAABAABABABBAABAABAAAABBBBABBBAABAAAAAAABAABABAAAABBBAAAAAAABAAAAAAAAABABBBBAAAAABBBAABBBBBABABBABABAB,-0.4401373992659094,1640.7500000149012,1584.0,1682.6500000208616,0.0,-98.65000002086163,0.9413722402046543,12.0,28,32,0.0,36,24,0.0,70,50,0.0,120.0,60.0,60.0,60.0,0.4666666666666667,0.5333333333333333,0.0,0.6,0.4,0.0,0.5833333333333334,0.4166666666666667,0.0,0.4666666666666667,0.5333333333333333,-0.06666666666666665,-0.06666666666666665,32,20.0,No,in ear headphones,,Other (please specify below):,,SONA for course credit,Bengali,No,Female,,0,0,No,,Strongly Agree,Agree,,2021-09-04 19:33:28,40094
