,index,rt,stimulus,key_press,name,trial_type,trial_index,time_elapsed,internal_node_id,set,transposition,mode,mode_no,probe_pitches,question_num,response,response_numeric,subject,sona_x,block,time,malformed,Unnamed: 0,subject_age,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,How did you arrive at this experiment?,What is your first language (if other)?,subject_gender,How many years of formal music theory training do you have?,Do you have perfect (absolute) pitch?,What informed your judgement (if anything) of how familiar were the melodies?,What general strategy (if any) did you use to judge whether melodies had some notes that were more important than others?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona_y,understood task
194,194,519,The audio clip was melodic.,52,likert,html-keyboard-response,188,490874,0.0-188.0,0 2 3 7 8,-2,"[0, 4, 6, 7, 11]",4,-2 2 5 4 9 5 2 9 2 -2 2 5,201,somewhat agree,4,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
195,195,412,Some notes felt more important than others.,53,likert,html-keyboard-response,193,500148,0.0-193.0,0 4 5 6 7,2,"[0, 5, 9, 10, 11]",4,2 7 2 7 2 11 7 14 12 11 2 7,211,agree,5,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
196,196,252,The melody as a whole or parts of it felt familiar.,49,likert,html-keyboard-response,195,501404,0.0-195.0,0 4 5 6 7,2,"[0, 5, 9, 10, 11]",4,2 7 2 7 2 11 7 14 12 11 2 7,211,disagree,1,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
197,197,236,The audio clip was melodic.,53,likert,html-keyboard-response,197,502642,0.0-197.0,0 4 5 6 7,2,"[0, 5, 9, 10, 11]",4,2 7 2 7 2 11 7 14 12 11 2 7,211,agree,5,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
198,198,4826,Some notes felt more important than others.,52,likert,html-keyboard-response,202,513764,0.0-202.0,0 1 2 4 8,0,"[0, 4, 8, 9, 10]",3,0 4 9 10 9 8 12 0 8 12 0 8,221,somewhat agree,4,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
199,199,2283,The melody as a whole or parts of it felt familiar.,50,likert,html-keyboard-response,204,517052,0.0-204.0,0 1 2 4 8,0,"[0, 4, 8, 9, 10]",3,0 4 9 10 9 8 12 0 8 12 0 8,221,somewhat disagree,2,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
200,200,525,The audio clip was melodic.,53,likert,html-keyboard-response,206,518581,0.0-206.0,0 1 2 4 8,0,"[0, 4, 8, 9, 10]",3,0 4 9 10 9 8 12 0 8 12 0 8,221,agree,5,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
201,201,990,Some notes felt more important than others.,51,likert,html-keyboard-response,211,526024,0.0-211.0,0 2 5 6 9,-1,"[0, 1, 4, 7, 9]",2,11 6 11 6 3 11 6 -1 6 8 -1 6,231,neutral,3,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
202,202,1867,The melody as a whole or parts of it felt familiar.,53,likert,html-keyboard-response,213,528897,0.0-213.0,0 2 5 6 9,-1,"[0, 1, 4, 7, 9]",2,11 6 11 6 3 11 6 -1 6 8 -1 6,231,agree,5,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
203,203,251,The audio clip was melodic.,53,likert,html-keyboard-response,215,530149,0.0-215.0,0 2 5 6 9,-1,"[0, 1, 4, 7, 9]",2,11 6 11 6 3 11 6 -1 6 8 -1 6,231,agree,5,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
204,204,14050,Some notes felt more important than others.,50,likert,html-keyboard-response,220,555152,0.0-220.0,0 1 2 4 5,-2,"[0, 1, 2, 4, 5]",0,-1 -2 0 -2 3 10 0 3 0 -2 2 0,241,somewhat disagree,2,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
205,205,4720,The melody as a whole or parts of it felt familiar.,51,likert,html-keyboard-response,222,560875,0.0-222.0,0 1 2 4 5,-2,"[0, 1, 2, 4, 5]",0,-1 -2 0 -2 3 10 0 3 0 -2 2 0,241,neutral,3,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
206,206,412,The audio clip was melodic.,50,likert,html-keyboard-response,224,562291,0.0-224.0,0 1 2 4 5,-2,"[0, 1, 2, 4, 5]",0,-1 -2 0 -2 3 10 0 3 0 -2 2 0,241,somewhat disagree,2,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
207,207,1817,Some notes felt more important than others.,53,likert,html-keyboard-response,229,593823,0.0-229.0,0 1 2 4 8,-2,"[0, 1, 2, 4, 8]",0,2 -1 2 0 2 6 -1 2 -1 2 -1 0,251,agree,5,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
208,208,133,The melody as a whole or parts of it felt familiar.,52,likert,html-keyboard-response,231,594960,0.0-231.0,0 1 2 4 8,-2,"[0, 1, 2, 4, 8]",0,2 -1 2 0 2 6 -1 2 -1 2 -1 0,251,somewhat agree,4,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
209,209,219,The audio clip was melodic.,52,likert,html-keyboard-response,233,596184,0.0-233.0,0 1 2 4 8,-2,"[0, 1, 2, 4, 8]",0,2 -1 2 0 2 6 -1 2 -1 2 -1 0,251,somewhat agree,4,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
210,210,608,Some notes felt more important than others.,53,likert,html-keyboard-response,238,606758,0.0-238.0,0 1 2 3 5,2,"[0, 1, 3, 10, 11]",2,12 14 12 14 12 13 14 12 2 12 3 12,261,agree,5,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
211,211,310,The melody as a whole or parts of it felt familiar.,53,likert,html-keyboard-response,240,608071,0.0-240.0,0 1 2 3 5,2,"[0, 1, 3, 10, 11]",2,12 14 12 14 12 13 14 12 2 12 3 12,261,agree,5,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
212,212,198,The audio clip was melodic.,52,likert,html-keyboard-response,242,609270,0.0-242.0,0 1 2 3 5,2,"[0, 1, 3, 10, 11]",2,12 14 12 14 12 13 14 12 2 12 3 12,261,somewhat agree,4,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
213,213,924,Some notes felt more important than others.,50,likert,html-keyboard-response,247,616510,0.0-247.0,0 2 4 7 8,-2,"[0, 1, 5, 7, 9]",3,5 7 5 -1 -2 -1 5 10 7 5 10 -1,271,somewhat disagree,2,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
214,214,1063,The melody as a whole or parts of it felt familiar.,51,likert,html-keyboard-response,249,618578,0.0-249.0,0 2 4 7 8,-2,"[0, 1, 5, 7, 9]",3,5 7 5 -1 -2 -1 5 10 7 5 10 -1,271,neutral,3,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
215,215,1572,The audio clip was melodic.,51,likert,html-keyboard-response,251,621152,0.0-251.0,0 2 4 7 8,-2,"[0, 1, 5, 7, 9]",3,5 7 5 -1 -2 -1 5 10 7 5 10 -1,271,neutral,3,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
216,216,444,Some notes felt more important than others.,52,likert,html-keyboard-response,256,640847,0.0-256.0,0 3 4 5 6,0,"[0, 6, 9, 10, 11]",4,10 6 0 6 11 12 6 9 6 10 11 0,281,somewhat agree,4,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
217,217,552,The melody as a whole or parts of it felt familiar.,52,likert,html-keyboard-response,258,642403,0.0-258.0,0 3 4 5 6,0,"[0, 6, 9, 10, 11]",4,10 6 0 6 11 12 6 9 6 10 11 0,281,somewhat agree,4,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
218,218,115,The audio clip was melodic.,50,likert,html-keyboard-response,260,643525,0.0-260.0,0 3 4 5 6,0,"[0, 6, 9, 10, 11]",4,10 6 0 6 11 12 6 9 6 10 11 0,281,somewhat disagree,2,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
219,219,4383,Some notes felt more important than others.,50,likert,html-keyboard-response,265,653975,0.0-265.0,0 1 2 4 5,-3,"[0, 2, 3, 10, 11]",2,0 -1 -3 0 -3 0 -1 7 8 7 -3 9,291,somewhat disagree,2,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
220,220,10202,The melody as a whole or parts of it felt familiar.,51,likert,html-keyboard-response,267,665181,0.0-267.0,0 1 2 4 5,-3,"[0, 2, 3, 10, 11]",2,0 -1 -3 0 -3 0 -1 7 8 7 -3 9,291,neutral,3,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
221,221,2240,The audio clip was melodic.,50,likert,html-keyboard-response,269,668423,0.0-269.0,0 1 2 4 5,-3,"[0, 2, 3, 10, 11]",2,0 -1 -3 0 -3 0 -1 7 8 7 -3 9,291,somewhat disagree,2,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
222,222,626,Some notes felt more important than others.,51,likert,html-keyboard-response,274,675383,0.0-274.0,0 3 4 5 7,-1,"[0, 1, 2, 4, 9]",1,1 3 -1 0 -1 3 8 1 11 8 3 11,301,neutral,3,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
223,223,1294,The melody as a whole or parts of it felt familiar.,51,likert,html-keyboard-response,276,677682,0.0-276.0,0 3 4 5 7,-1,"[0, 1, 2, 4, 9]",1,1 3 -1 0 -1 3 8 1 11 8 3 11,301,neutral,3,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
224,224,2179,The audio clip was melodic.,52,likert,html-keyboard-response,278,680865,0.0-278.0,0 3 4 5 7,-1,"[0, 1, 2, 4, 9]",1,1 3 -1 0 -1 3 8 1 11 8 3 11,301,somewhat agree,4,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
225,225,34320,Some notes felt more important than others.,50,likert,html-keyboard-response,283,721523,0.0-283.0,0 3 4 5 6,-1,"[0, 3, 4, 5, 6]",0,3 2 4 11 5 2 -1 11 -1 3 -1 2,311,somewhat disagree,2,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
226,226,2640,The melody as a whole or parts of it felt familiar.,52,likert,html-keyboard-response,285,725170,0.0-285.0,0 3 4 5 6,-1,"[0, 3, 4, 5, 6]",0,3 2 4 11 5 2 -1 11 -1 3 -1 2,311,somewhat agree,4,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
227,227,442,The audio clip was melodic.,50,likert,html-keyboard-response,287,726615,0.0-287.0,0 3 4 5 6,-1,"[0, 3, 4, 5, 6]",0,3 2 4 11 5 2 -1 11 -1 3 -1 2,311,somewhat disagree,2,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
228,228,279,Some notes felt more important than others.,53,likert,html-keyboard-response,292,733533,0.0-292.0,0 1 2 3 5,-1,"[0, 1, 2, 4, 11]",1,10 11 10 11 10 0 3 -1 10 0 1 0,321,agree,5,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
229,229,166,The melody as a whole or parts of it felt familiar.,53,likert,html-keyboard-response,294,734702,0.0-294.0,0 1 2 3 5,-1,"[0, 1, 2, 4, 11]",1,10 11 10 11 10 0 3 -1 10 0 1 0,321,agree,5,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
230,230,860,The audio clip was melodic.,51,likert,html-keyboard-response,296,736564,0.0-296.0,0 1 2 3 5,-1,"[0, 1, 2, 4, 11]",1,10 11 10 11 10 0 3 -1 10 0 1 0,321,neutral,3,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
231,231,200,Some notes felt more important than others.,53,likert,html-keyboard-response,301,743038,0.0-301.0,0 1 4 7 8,1,"[0, 3, 6, 7, 11]",1,13 8 7 13 8 13 4 12 8 1 4 13,331,agree,5,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
232,232,1877,The melody as a whole or parts of it felt familiar.,53,likert,html-keyboard-response,303,745917,0.0-303.0,0 1 4 7 8,1,"[0, 3, 6, 7, 11]",1,13 8 7 13 8 13 4 12 8 1 4 13,331,agree,5,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
233,233,153,The audio clip was melodic.,52,likert,html-keyboard-response,305,747071,0.0-305.0,0 1 4 7 8,1,"[0, 3, 6, 7, 11]",1,13 8 7 13 8 13 4 12 8 1 4 13,331,somewhat agree,4,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
234,234,123,Some notes felt more important than others.,53,likert,html-keyboard-response,310,753404,0.0-310.0,0 2 3 5 6,2,"[0, 2, 3, 9, 11]",2,5 11 5 11 2 5 14 11 13 5 4 13,341,agree,5,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
235,235,3415,The melody as a whole or parts of it felt familiar.,52,likert,html-keyboard-response,312,757824,0.0-312.0,0 2 3 5 6,2,"[0, 2, 3, 9, 11]",2,5 11 5 11 2 5 14 11 13 5 4 13,341,somewhat agree,4,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
236,236,505,The audio clip was melodic.,52,likert,html-keyboard-response,314,759332,0.0-314.0,0 2 3 5 6,2,"[0, 2, 3, 9, 11]",2,5 11 5 11 2 5 14 11 13 5 4 13,341,somewhat agree,4,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
237,237,2451,Some notes felt more important than others.,50,likert,html-keyboard-response,319,768178,0.0-319.0,0 3 4 6 7,2,"[0, 3, 4, 6, 7]",0,2 8 2 9 8 9 5 6 5 8 5 9,351,somewhat disagree,2,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
238,238,5057,The melody as a whole or parts of it felt familiar.,51,likert,html-keyboard-response,321,774238,0.0-321.0,0 3 4 6 7,2,"[0, 3, 4, 6, 7]",0,2 8 2 9 8 9 5 6 5 8 5 9,351,neutral,3,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
239,239,718,The audio clip was melodic.,51,likert,html-keyboard-response,323,775960,0.0-323.0,0 3 4 6 7,2,"[0, 3, 4, 6, 7]",0,2 8 2 9 8 9 5 6 5 8 5 9,351,neutral,3,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
240,240,4499,Some notes felt more important than others.,52,likert,html-keyboard-response,328,786846,0.0-328.0,0 1 2 4 5,2,"[0, 1, 2, 4, 5]",0,7 3 6 3 6 2 3 6 3 7 3 7,361,somewhat agree,4,SSSQ0003,38374,2,2020-11-22 08:17:58.187000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
